,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen,lrecon,galtan,party_id,party_id,party_id,party_id
873,,,,,,,,,,2310.0,2310.0,2310.0,2310.0
874,1.0,8.0,8.0,10.0,10.0,10.0,7.0,5.0,10.0,2302.0,2302.0,2302.0,2302.0
875,1.0,8.0,10.0,10.0,10.0,10.0,9.0,5.0,10.0,2308.0,2308.0,2308.0,2308.0
876,3.0,6.0,3.0,4.0,3.0,5.0,3.0,1.0,5.0,2301.0,2301.0,2301.0,2301.0
877,4.0,6.0,3.0,4.0,2.0,4.0,3.0,1.0,5.0,2311.0,2311.0,2311.0,2311.0
878,5.0,2.0,3.0,3.0,4.0,2.0,5.0,5.0,2.0,2309.0,2309.0,2309.0,2309.0
879,6.0,2.0,3.0,2.0,3.0,1.0,5.0,5.0,0.0,2314.0,2314.0,2314.0,2314.0
880,6.0,2.0,3.0,3.0,3.0,1.0,5.0,5.0,1.0,2310.0,2310.0,2310.0,2310.0
881,2.0,8.0,7.0,9.0,9.0,8.0,8.0,3.0,8.0,2302.0,2302.0,2302.0,2302.0
882,4.0,6.0,7.0,7.0,6.0,7.0,6.0,5.0,6.0,2308.0,2308.0,2308.0,2308.0
883,4.0,5.0,7.0,5.0,5.0,5.0,2.0,6.0,4.0,2301.0,2301.0,2301.0,2301.0
884,5.0,4.0,7.0,4.0,4.0,4.0,2.0,5.0,4.0,2311.0,2311.0,2311.0,2311.0
885,4.0,2.0,7.0,4.0,5.0,5.0,4.0,4.0,5.0,2309.0,2309.0,2309.0,2309.0
886,6.0,4.0,5.0,3.0,3.0,3.0,3.0,7.0,2.0,2314.0,2314.0,2314.0,2314.0
887,,,,,,,,,,2310.0,2310.0,2310.0,2310.0
888,2.0,8.0,7.0,9.0,10.0,10.0,10.0,2.0,9.0,2302.0,2302.0,2302.0,2302.0
889,3.0,7.0,8.0,9.0,10.0,10.0,10.0,2.0,9.0,2308.0,2308.0,2308.0,2308.0
890,5.0,6.0,7.0,5.0,5.0,7.0,4.0,6.0,7.0,2301.0,2301.0,2301.0,2301.0
891,4.0,5.0,9.0,5.0,4.0,6.0,3.0,3.0,5.0,2311.0,2311.0,2311.0,2311.0
892,3.0,2.0,7.0,2.0,3.0,4.0,2.0,2.0,2.0,2309.0,2309.0,2309.0,2309.0
893,7.0,3.0,5.0,2.0,3.0,4.0,3.0,8.0,2.0,2314.0,2314.0,2314.0,2314.0
894,,,,,,,,,,2310.0,2310.0,2310.0,2310.0
895,0.0,10.0,9.0,9.0,10.0,10.0,1.0,1.0,10.0,2302.0,2302.0,2302.0,2302.0
896,4.0,,6.0,7.0,8.0,9.0,5.0,5.0,6.0,2308.0,2308.0,2308.0,2308.0
897,4.0,3.0,2.0,5.0,7.0,6.0,4.0,5.0,6.0,2301.0,2301.0,2301.0,2301.0
898,8.0,1.0,1.0,1.0,5.0,2.0,8.0,7.0,2.0,2311.0,2311.0,2311.0,2311.0
899,6.0,1.0,1.0,3.0,6.0,4.0,7.0,7.0,4.0,2309.0,2309.0,2309.0,2309.0
900,8.0,2.0,1.0,2.0,5.0,3.0,7.0,7.0,3.0,2314.0,2314.0,2314.0,2314.0
901,,,,,,,,,,2310.0,2310.0,2310.0,2310.0
902,2.0,6.0,2.0,10.0,10.0,10.0,9.0,3.0,9.0,2302.0,2302.0,2302.0,2302.0
903,2.0,6.0,3.0,10.0,10.0,10.0,9.0,3.0,9.0,2308.0,2308.0,2308.0,2308.0
904,2.0,6.0,2.0,6.0,6.0,4.0,5.0,2.0,6.0,2301.0,2301.0,2301.0,2301.0
905,3.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2311.0,2311.0,2311.0,2311.0
906,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2309.0,2309.0,2309.0,2309.0
907,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,2314.0,2314.0,2314.0,2314.0
908,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,2310.0,2310.0,2310.0,2310.0
909,3.0,8.0,6.0,10.0,10.0,10.0,9.0,6.0,10.0,2302.0,2302.0,2302.0,2302.0
910,3.0,6.0,7.0,10.0,10.0,10.0,9.0,6.0,10.0,2308.0,2308.0,2308.0,2308.0
911,2.0,5.0,9.0,4.0,3.0,2.0,2.0,3.0,1.0,2301.0,2301.0,2301.0,2301.0
912,5.0,5.0,8.0,3.0,3.0,1.0,3.0,3.0,0.0,2311.0,2311.0,2311.0,2311.0
913,2.0,0.0,8.0,3.0,4.0,2.0,5.0,2.0,4.0,2309.0,2309.0,2309.0,2309.0
914,6.0,3.0,7.0,1.0,1.0,0.0,3.0,5.0,1.0,2314.0,2314.0,2314.0,2314.0
915,,,,,,,,,,2310.0,2310.0,2310.0,2310.0
916,2.0,10.0,3.0,10.0,10.0,9.0,9.0,3.0,10.0,2302.0,2302.0,2302.0,2302.0
917,2.0,,3.0,10.0,10.0,10.0,9.0,3.0,10.0,2308.0,2308.0,2308.0,2308.0
918,4.0,3.0,3.0,4.0,5.0,2.0,5.0,7.0,4.0,2301.0,2301.0,2301.0,2301.0
919,6.0,3.0,3.0,2.0,4.0,1.0,5.0,9.0,2.0,2311.0,2311.0,2311.0,2311.0
920,3.0,0.0,3.0,3.0,9.0,1.0,3.0,2.0,5.0,2309.0,2309.0,2309.0,2309.0
921,8.0,2.0,3.0,1.0,3.0,1.0,5.0,9.0,1.0,2314.0,2314.0,2314.0,2314.0
922,4.0,0.0,3.0,2.0,4.0,1.0,5.0,5.0,2.0,2310.0,2310.0,2310.0,2310.0
923,0.0,,4.0,10.0,10.0,8.0,10.0,0.0,9.0,2302.0,2302.0,2302.0,2302.0
924,1.0,,4.0,8.0,9.0,8.0,8.0,6.0,6.0,2308.0,2308.0,2308.0,2308.0
925,1.0,,3.0,5.0,,3.0,3.0,4.0,4.0,2301.0,2301.0,2301.0,2301.0
926,1.0,,4.0,5.0,,1.0,3.0,5.0,3.0,2311.0,2311.0,2311.0,2311.0
927,1.0,0.0,5.0,5.0,,4.0,3.0,4.0,5.0,2309.0,2309.0,2309.0,2309.0
928,9.0,,8.0,2.0,,0.0,8.0,9.0,2.0,2314.0,2314.0,2314.0,2314.0
929,5.0,3.0,,2.0,,0.0,5.0,7.0,1.0,2310.0,2310.0,2310.0,2310.0
930,1.0,8.0,4.0,8.0,10.0,8.0,7.0,4.0,9.0,2302.0,2302.0,2302.0,2302.0
931,3.0,6.0,2.0,9.0,8.0,7.0,6.0,2.0,8.0,2308.0,2308.0,2308.0,2308.0
932,4.0,3.0,3.0,6.0,5.0,2.0,4.0,6.0,4.0,2301.0,2301.0,2301.0,2301.0
933,8.0,3.0,7.0,3.0,0.0,0.0,4.0,8.0,0.0,2311.0,2311.0,2311.0,2311.0
934,3.0,7.0,2.0,5.0,7.0,5.0,3.0,3.0,4.0,2309.0,2309.0,2309.0,2309.0
935,,3.0,6.0,3.0,3.0,1.0,3.0,7.0,2.0,2314.0,2314.0,2314.0,2314.0
936,,,,,2.0,,2.0,,1.0,2310.0,2310.0,2310.0,2310.0
937,,9.0,8.0,9.0,10.0,9.0,10.0,6.0,8.0,2302.0,2302.0,2302.0,2302.0
938,6.0,6.0,4.0,6.0,10.0,5.0,6.0,5.0,6.0,2308.0,2308.0,2308.0,2308.0
939,6.0,6.0,3.0,4.0,6.0,3.0,4.0,4.0,4.0,2301.0,2301.0,2301.0,2301.0
940,7.0,6.0,4.0,2.0,4.0,2.0,4.0,8.0,2.0,2311.0,2311.0,2311.0,2311.0
941,4.0,3.0,3.0,2.0,6.0,2.0,4.0,4.0,2.0,2309.0,2309.0,2309.0,2309.0
942,7.0,5.0,5.0,2.0,4.0,2.0,5.0,8.0,3.0,2314.0,2314.0,2314.0,2314.0
943,,,,,,,,,,2310.0,2310.0,2310.0,2310.0
944,1.0,8.0,1.0,8.0,10.0,7.0,8.0,1.0,8.0,2302.0,2302.0,2302.0,2302.0
945,3.0,6.0,2.0,7.0,10.0,6.0,8.0,2.0,7.0,2308.0,2308.0,2308.0,2308.0
946,3.0,5.0,2.0,3.0,6.0,2.0,3.0,2.0,3.0,2301.0,2301.0,2301.0,2301.0
947,6.0,5.0,3.0,,3.0,1.0,3.0,3.0,2.0,2311.0,2311.0,2311.0,2311.0
948,3.0,5.0,2.0,3.0,6.0,1.0,4.0,3.0,3.0,2309.0,2309.0,2309.0,2309.0
949,7.0,4.0,6.0,1.0,3.0,0.0,4.0,4.0,2.0,2314.0,2314.0,2314.0,2314.0
950,,,,1.0,,0.0,,,,2310.0,2310.0,2310.0,2310.0
951,0.0,,,10.0,10.0,10.0,8.0,1.0,10.0,2302.0,2302.0,2302.0,2302.0
952,0.0,,,10.0,9.0,10.0,7.0,1.0,10.0,2308.0,2308.0,2308.0,2308.0
953,5.0,,,5.0,2.0,3.0,5.0,7.0,0.0,2301.0,2301.0,2301.0,2301.0
954,5.0,,,3.0,1.0,1.0,3.0,6.0,0.0,2311.0,2311.0,2311.0,2311.0
955,6.0,,,3.0,1.0,1.0,3.0,5.0,0.0,2309.0,2309.0,2309.0,2309.0
956,,,,,,,4.0,5.0,0.0,2314.0,2314.0,2314.0,2314.0
957,,,,,,,4.0,5.0,0.0,2310.0,2310.0,2310.0,2310.0
958,1.0,3.0,6.0,10.0,10.0,10.0,9.0,6.0,8.0,2302.0,2302.0,2302.0,2302.0
959,4.0,,2.0,10.0,10.0,10.0,10.0,7.0,10.0,2308.0,2308.0,2308.0,2308.0
960,3.0,,1.0,5.0,4.0,3.0,3.0,3.0,4.0,2301.0,2301.0,2301.0,2301.0
961,6.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,2311.0,2311.0,2311.0,2311.0
962,,2.0,5.0,3.0,6.0,2.0,6.0,5.0,6.0,2309.0,2309.0,2309.0,2309.0
963,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2314.0,2314.0,2314.0,2314.0
964,6.0,4.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,2310.0,2310.0,2310.0,2310.0
965,3.0,7.0,5.0,10.0,10.0,10.0,10.0,5.0,10.0,2302.0,2302.0,2302.0,2302.0
966,2.0,3.0,2.0,7.0,9.0,8.0,8.0,2.0,8.0,2308.0,2308.0,2308.0,2308.0
967,2.0,2.0,2.0,2.0,6.0,2.0,3.0,2.0,1.0,2301.0,2301.0,2301.0,2301.0
968,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,2311.0,2311.0,2311.0,2311.0
969,2.0,0.0,2.0,2.0,6.0,1.0,2.0,2.0,0.0,2309.0,2309.0,2309.0,2309.0
970,4.0,1.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,2314.0,2314.0,2314.0,2314.0
971,,,,,,,,,,2310.0,2310.0,2310.0,2310.0
972,2.0,6.0,2.0,7.0,4.0,3.0,2.0,3.0,3.0,2410.0,2410.0,2410.0,2410.0
973,4.0,,4.0,,5.0,4.0,6.0,6.0,5.0,2415.0,2415.0,2415.0,2415.0
974,8.0,,5.0,8.0,7.0,5.0,8.0,7.0,6.0,2416.0,2416.0,2416.0,2416.0
975,7.0,7.0,6.0,3.0,2.0,0.0,7.0,,1.0,2417.0,2417.0,2417.0,2417.0
976,8.0,4.0,6.0,9.0,10.0,10.0,10.0,7.0,10.0,2406.0,2406.0,2406.0,2406.0
977,3.0,5.0,0.0,6.0,5.0,6.0,4.0,3.0,7.0,2405.0,2405.0,2405.0,2405.0
978,10.0,7.0,8.0,2.0,1.0,5.0,8.0,9.0,6.0,2412.0,2412.0,2412.0,2412.0
979,7.0,,6.0,3.0,3.0,5.0,6.0,6.0,5.0,2414.0,2414.0,2414.0,2414.0
980,,,4.0,5.0,,1.0,0.0,,3.0,2402.0,2402.0,2402.0,2402.0
981,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,2410.0,2410.0,2410.0,2410.0
982,6.0,5.0,6.0,4.0,5.0,4.0,6.0,6.0,7.0,2415.0,2415.0,2415.0,2415.0
983,6.0,5.0,8.0,7.0,8.0,5.0,7.0,7.0,8.0,2416.0,2416.0,2416.0,2416.0
984,7.0,5.0,8.0,7.0,4.0,1.0,6.0,7.0,3.0,2417.0,2417.0,2417.0,2417.0
985,7.0,5.0,8.0,7.0,10.0,9.0,9.0,7.0,10.0,2406.0,2406.0,2406.0,2406.0
986,6.0,5.0,7.0,6.0,8.0,9.0,9.0,7.0,10.0,2405.0,2405.0,2405.0,2405.0
987,9.0,5.0,9.0,8.0,7.0,1.0,7.0,8.0,5.0,2412.0,2412.0,2412.0,2412.0
988,7.0,5.0,8.0,6.0,7.0,6.0,,8.0,7.0,2414.0,2414.0,2414.0,2414.0
989,5.0,5.0,4.0,6.0,5.0,5.0,3.0,4.0,8.0,2402.0,2402.0,2402.0,2402.0
990,4.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,2410.0,2410.0,2410.0,2410.0
991,3.0,6.0,5.0,6.0,5.0,5.0,4.0,3.0,5.0,2415.0,2415.0,2415.0,2415.0
992,3.0,7.0,3.0,8.0,6.0,6.0,6.0,6.0,7.0,2416.0,2416.0,2416.0,2416.0
993,5.0,5.0,6.0,6.0,3.0,2.0,7.0,7.0,2.0,2417.0,2417.0,2417.0,2417.0
994,4.0,4.0,4.0,8.0,8.0,6.0,5.0,4.0,7.0,2406.0,2406.0,2406.0,2406.0
995,3.0,6.0,7.0,7.0,8.0,7.0,4.0,4.0,8.0,2405.0,2405.0,2405.0,2405.0
996,3.0,5.0,7.0,6.0,4.0,4.0,7.0,6.0,4.0,2412.0,2412.0,2412.0,2412.0
997,3.0,4.0,5.0,5.0,8.0,5.0,5.0,4.0,6.0,2414.0,2414.0,2414.0,2414.0
998,3.0,2.0,1.0,2.0,5.0,3.0,1.0,2.0,9.0,2402.0,2402.0,2402.0,2402.0
999,4.0,,4.0,6.0,6.0,9.0,4.0,3.0,7.0,2410.0,2410.0,2410.0,2410.0
1000,,,4.0,,9.0,6.0,5.0,4.0,6.0,2415.0,2415.0,2415.0,2415.0
1001,6.0,4.0,6.0,7.0,9.0,7.0,7.0,7.0,8.0,2416.0,2416.0,2416.0,2416.0
1002,4.0,3.0,3.0,4.0,6.0,0.0,4.0,4.0,1.0,2417.0,2417.0,2417.0,2417.0
1003,6.0,5.0,6.0,8.0,10.0,10.0,8.0,6.0,9.0,2406.0,2406.0,2406.0,2406.0
1004,7.0,7.0,7.0,6.0,9.0,7.0,5.0,7.0,8.0,2405.0,2405.0,2405.0,2405.0
1005,7.0,4.0,7.0,5.0,6.0,1.0,6.0,8.0,3.0,2412.0,2412.0,2412.0,2412.0
1006,,,,6.0,9.0,9.0,5.0,,8.0,2414.0,2414.0,2414.0,2414.0
1007,4.0,,3.0,,,,4.0,3.0,,2402.0,2402.0,2402.0,2402.0
1008,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2410.0,2410.0,2410.0,2410.0
1009,8.0,,8.0,9.0,10.0,,6.0,7.0,,2415.0,2415.0,2415.0,2415.0
1010,3.0,,4.0,9.0,10.0,10.0,9.0,6.0,10.0,2416.0,2416.0,2416.0,2416.0
1011,2.0,3.0,2.0,2.0,6.0,0.0,4.0,4.0,0.0,2417.0,2417.0,2417.0,2417.0
1012,7.0,5.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,2406.0,2406.0,2406.0,2406.0
1013,7.0,4.0,7.0,8.0,8.0,9.0,6.0,7.0,10.0,2405.0,2405.0,2405.0,2405.0
1014,8.0,6.0,7.0,7.0,6.0,3.0,7.0,8.0,6.0,2412.0,2412.0,2412.0,2412.0
1015,,,,,,,,,,2414.0,2414.0,2414.0,2414.0
1016,1.0,,2.0,,,,3.0,2.0,7.0,2402.0,2402.0,2402.0,2402.0
1017,1.0,8.0,2.0,7.0,8.0,9.0,2.0,4.0,9.0,2410.0,2410.0,2410.0,2410.0
1018,7.0,7.0,7.0,3.0,8.0,6.0,6.0,7.0,4.0,2415.0,2415.0,2415.0,2415.0
1019,7.0,7.0,7.0,3.0,8.0,6.0,7.0,7.0,6.0,2416.0,2416.0,2416.0,2416.0
1020,7.0,7.0,7.0,3.0,8.0,2.0,8.0,8.0,3.0,2417.0,2417.0,2417.0,2417.0
1021,7.0,7.0,7.0,3.0,8.0,7.0,8.0,8.0,8.0,2406.0,2406.0,2406.0,2406.0
1022,7.0,5.0,7.0,3.0,8.0,7.0,7.0,8.0,7.0,2405.0,2405.0,2405.0,2405.0
1023,7.0,7.0,7.0,3.0,8.0,7.0,7.0,8.0,6.0,2412.0,2412.0,2412.0,2412.0
1024,7.0,7.0,6.0,3.0,8.0,7.0,7.0,8.0,6.0,2414.0,2414.0,2414.0,2414.0
1025,1.0,9.0,2.0,8.0,3.0,9.0,1.0,2.0,9.0,2402.0,2402.0,2402.0,2402.0
1026,3.0,5.0,4.0,5.0,6.0,6.0,,,,2410.0,2410.0,2410.0,2410.0
1027,6.0,5.0,4.0,5.0,7.0,6.0,,,,2415.0,2415.0,2415.0,2415.0
1028,6.0,5.0,6.0,5.0,6.0,7.0,,,,2416.0,2416.0,2416.0,2416.0
1029,6.0,5.0,6.0,5.0,6.0,,,,,2417.0,2417.0,2417.0,2417.0
1030,5.0,5.0,5.0,10.0,10.0,10.0,,,,2406.0,2406.0,2406.0,2406.0
1031,5.0,2.0,5.0,7.0,6.0,7.0,,,,2405.0,2405.0,2405.0,2405.0
1032,8.0,5.0,8.0,5.0,5.0,4.0,,,,2412.0,2412.0,2412.0,2412.0
1033,,,,5.0,,,,,,2414.0,2414.0,2414.0,2414.0
1034,,,,5.0,,,,,,2402.0,2402.0,2402.0,2402.0
1035,6.0,,,6.0,5.0,5.0,5.0,7.0,8.0,2410.0,2410.0,2410.0,2410.0
1036,6.0,,,8.0,5.0,8.0,6.0,7.0,7.0,2415.0,2415.0,2415.0,2415.0
1037,8.0,,,7.0,6.0,10.0,6.0,6.0,2.0,2416.0,2416.0,2416.0,2416.0
1038,5.0,,,9.0,6.0,5.0,7.0,9.0,4.0,2417.0,2417.0,2417.0,2417.0
1039,7.0,,,9.0,10.0,8.0,10.0,7.0,3.0,2406.0,2406.0,2406.0,2406.0
1040,7.0,8.0,,6.0,9.0,8.0,6.0,7.0,6.0,2405.0,2405.0,2405.0,2405.0
1041,5.0,,,,5.0,,8.0,9.0,8.0,2412.0,2412.0,2412.0,2412.0
1042,5.0,,,,6.0,5.0,7.0,8.0,7.0,2414.0,2414.0,2414.0,2414.0
1043,6.0,,,,6.0,5.0,4.0,6.0,7.0,2402.0,2402.0,2402.0,2402.0
1044,0.0,10.0,3.0,6.0,8.0,9.0,2.0,3.0,7.0,2410.0,2410.0,2410.0,2410.0
1045,10.0,10.0,7.0,,9.0,8.0,9.0,,5.0,2415.0,2415.0,2415.0,2415.0
1046,5.0,10.0,4.0,7.0,9.0,8.0,8.0,4.0,8.0,2416.0,2416.0,2416.0,2416.0
1047,4.0,5.0,3.0,1.0,0.0,0.0,5.0,5.0,1.0,2417.0,2417.0,2417.0,2417.0
1048,5.0,7.0,6.0,9.0,10.0,10.0,9.0,4.0,8.0,2406.0,2406.0,2406.0,2406.0
1049,5.0,10.0,6.0,7.0,8.0,7.0,6.0,5.0,7.0,2405.0,2405.0,2405.0,2405.0
1050,5.0,8.0,6.0,4.0,3.0,4.0,7.0,6.0,4.0,2412.0,2412.0,2412.0,2412.0
1051,5.0,7.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,2414.0,2414.0,2414.0,2414.0
1052,5.0,7.0,4.0,,,5.0,1.0,2.0,7.0,2402.0,2402.0,2402.0,2402.0
1053,2.0,5.0,3.0,7.0,7.0,7.0,3.0,7.0,6.0,2410.0,2410.0,2410.0,2410.0
1054,5.0,3.0,5.0,7.0,7.0,6.0,5.0,3.0,5.0,2415.0,2415.0,2415.0,2415.0
1055,3.0,,7.0,10.0,8.0,8.0,8.0,8.0,9.0,2416.0,2416.0,2416.0,2416.0
1056,5.0,8.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0,2417.0,2417.0,2417.0,2417.0
1057,3.0,7.0,8.0,6.0,10.0,10.0,8.0,8.0,8.0,2406.0,2406.0,2406.0,2406.0
1058,6.0,8.0,7.0,4.0,7.0,7.0,5.0,5.0,7.0,2405.0,2405.0,2405.0,2405.0
1059,7.0,7.0,6.0,3.0,5.0,3.0,6.0,5.0,3.0,2412.0,2412.0,2412.0,2412.0
1060,6.0,5.0,8.0,,8.0,6.0,5.0,5.0,6.0,2414.0,2414.0,2414.0,2414.0
1061,,3.0,,,,,3.0,6.0,,2402.0,2402.0,2402.0,2402.0
1062,6.0,,3.0,6.0,5.0,7.0,4.0,4.0,6.0,2410.0,2410.0,2410.0,2410.0
1063,,,,5.0,3.0,3.0,,,4.0,2415.0,2415.0,2415.0,2415.0
1064,8.0,,3.0,8.0,8.0,9.0,8.0,6.0,7.0,2416.0,2416.0,2416.0,2416.0
1065,6.0,1.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,2417.0,2417.0,2417.0,2417.0
1066,7.0,4.0,4.0,9.0,10.0,9.0,9.0,6.0,8.0,2406.0,2406.0,2406.0,2406.0
1067,7.0,4.0,4.0,7.0,6.0,8.0,6.0,5.0,8.0,2405.0,2405.0,2405.0,2405.0
1068,5.0,,5.0,5.0,3.0,3.0,6.0,6.0,5.0,2412.0,2412.0,2412.0,2412.0
1069,,,,,,,,,,2414.0,2414.0,2414.0,2414.0
1070,9.0,,2.0,5.0,,5.0,3.0,2.0,7.0,2402.0,2402.0,2402.0,2402.0
1071,2.0,8.0,3.0,7.0,5.0,9.0,3.0,2.0,8.0,2410.0,2410.0,2410.0,2410.0
1072,4.0,7.0,5.0,7.0,8.0,7.0,4.0,2.0,7.0,2415.0,2415.0,2415.0,2415.0
1073,4.0,6.0,6.0,6.0,7.0,7.0,6.0,4.0,7.0,2416.0,2416.0,2416.0,2416.0
1074,8.0,4.0,5.0,2.0,2.0,1.0,7.0,7.0,2.0,2417.0,2417.0,2417.0,2417.0
1075,5.0,6.0,7.0,7.0,10.0,9.0,8.0,2.0,8.0,2406.0,2406.0,2406.0,2406.0
1076,6.0,7.0,6.0,7.0,4.0,8.0,6.0,2.0,6.0,2405.0,2405.0,2405.0,2405.0
1077,7.0,5.0,6.0,3.0,3.0,2.0,7.0,6.0,3.0,2412.0,2412.0,2412.0,2412.0
1078,7.0,5.0,5.0,4.0,4.0,4.0,7.0,7.0,5.0,2414.0,2414.0,2414.0,2414.0
1079,2.0,7.0,3.0,7.0,,8.0,2.0,3.0,6.0,2402.0,2402.0,2402.0,2402.0
1080,3.0,9.0,6.0,7.0,6.0,6.0,7.0,2.0,8.0,2507.0,2507.0,2507.0,2507.0
1081,8.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,2506.0,2506.0,2506.0,2506.0
1082,1.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2501.0,2501.0,2501.0,2501.0
1083,10.0,10.0,10.0,0.0,2.0,0.0,9.0,9.0,0.0,2518.0,2518.0,2518.0,2518.0
1084,4.0,7.0,4.0,8.0,9.0,10.0,8.0,2.0,10.0,2511.0,2511.0,2511.0,2511.0
1085,7.0,8.0,7.0,9.0,10.0,10.0,10.0,7.0,9.0,2515.0,2515.0,2515.0,2515.0
1086,3.0,10.0,4.0,9.0,10.0,9.0,2.0,2.0,8.0,2516.0,2516.0,2516.0,2516.0
1087,5.0,6.0,5.0,,,3.0,4.0,4.0,6.0,2521.0,2521.0,2521.0,2521.0
1088,5.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2522.0,2522.0,2522.0,2522.0
1089,2.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,2523.0,2523.0,2523.0,2523.0
1090,3.0,7.0,4.0,8.0,8.0,8.0,6.0,3.0,10.0,2507.0,2507.0,2507.0,2507.0
1091,6.0,7.0,4.0,6.0,7.0,6.0,7.0,7.0,8.0,2506.0,2506.0,2506.0,2506.0
1092,2.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2501.0,2501.0,2501.0,2501.0
1093,8.0,3.0,8.0,0.0,3.0,0.0,7.0,8.0,0.0,2518.0,2518.0,2518.0,2518.0
1094,3.0,7.0,2.0,9.0,9.0,8.0,4.0,4.0,9.0,2511.0,2511.0,2511.0,2511.0
1095,4.0,8.0,3.0,9.0,8.0,9.0,5.0,5.0,9.0,2515.0,2515.0,2515.0,2515.0
1096,3.0,8.0,4.0,8.0,8.0,8.0,5.0,5.0,8.0,2516.0,2516.0,2516.0,2516.0
1097,4.0,6.0,5.0,8.0,8.0,9.0,5.0,5.0,8.0,2521.0,2521.0,2521.0,2521.0
1098,3.0,1.0,5.0,2.0,8.0,2.0,4.0,5.0,3.0,2522.0,2522.0,2522.0,2522.0
1099,3.0,3.0,4.0,1.0,3.0,0.0,4.0,6.0,0.0,2523.0,2523.0,2523.0,2523.0
1100,2.0,7.0,2.0,7.0,,9.0,3.0,4.0,9.0,2507.0,2507.0,2507.0,2507.0
1101,7.0,8.0,5.0,4.0,4.0,5.0,7.0,8.0,5.0,2506.0,2506.0,2506.0,2506.0
1102,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2501.0,2501.0,2501.0,2501.0
1103,10.0,8.0,10.0,1.0,1.0,1.0,6.0,10.0,2.0,2518.0,2518.0,2518.0,2518.0
1104,,,,,,10.0,9.0,1.0,10.0,2511.0,2511.0,2511.0,2511.0
1105,,,,8.0,8.0,10.0,8.0,6.0,9.0,2515.0,2515.0,2515.0,2515.0
1106,,,,,,5.0,5.0,7.0,,2516.0,2516.0,2516.0,2516.0
1107,,,,10.0,10.0,10.0,10.0,4.0,10.0,2521.0,2521.0,2521.0,2521.0
1108,,,,,,,,,,2522.0,2522.0,2522.0,2522.0
1109,4.0,,5.0,,,,5.0,2.0,5.0,2523.0,2523.0,2523.0,2523.0
1110,4.0,5.0,5.0,7.0,7.0,9.0,3.0,6.0,8.0,2507.0,2507.0,2507.0,2507.0
1111,6.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,6.0,2506.0,2506.0,2506.0,2506.0
1112,5.0,6.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,2501.0,2501.0,2501.0,2501.0
1113,8.0,5.0,6.0,0.0,4.0,1.0,8.0,8.0,1.0,2518.0,2518.0,2518.0,2518.0
1114,4.0,5.0,3.0,8.0,7.0,9.0,9.0,4.0,10.0,2511.0,2511.0,2511.0,2511.0
1115,5.0,6.0,5.0,9.0,7.0,9.0,8.0,5.0,9.0,2515.0,2515.0,2515.0,2515.0
1116,5.0,6.0,5.0,5.0,,8.0,5.0,5.0,6.0,2516.0,2516.0,2516.0,2516.0
1117,,,,,,,,,,2521.0,2521.0,2521.0,2521.0
1118,,,,,,,,,,2522.0,2522.0,2522.0,2522.0
1119,3.0,4.0,2.0,5.0,5.0,3.0,8.0,8.0,7.0,2523.0,2523.0,2523.0,2523.0
1120,4.0,4.0,7.0,5.0,5.0,8.0,7.0,3.0,9.0,2507.0,2507.0,2507.0,2507.0
1121,7.0,6.0,5.0,7.0,5.0,8.0,8.0,8.0,9.0,2506.0,2506.0,2506.0,2506.0
1122,2.0,6.0,8.0,1.0,5.0,1.0,2.0,3.0,2.0,2501.0,2501.0,2501.0,2501.0
1123,9.0,6.0,3.0,1.0,5.0,1.0,5.0,8.0,1.0,2518.0,2518.0,2518.0,2518.0
1124,4.0,6.0,8.0,7.0,5.0,9.0,7.0,3.0,10.0,2511.0,2511.0,2511.0,2511.0
1125,3.0,6.0,8.0,7.0,9.0,9.0,7.0,3.0,10.0,2515.0,2515.0,2515.0,2515.0
