,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen,lrecon,galtan,party_id,party_id,party_id,party_id
56,6.0,9.0,6.0,10.0,10.0,10.0,6.0,7.0,10.0,2005.0,2005.0,2005.0,2005.0
57,7.0,3.0,4.0,3.0,9.0,1.0,6.0,7.0,1.0,2018.0,2018.0,2018.0,2018.0
58,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,6.0,2008.0,2008.0,2008.0,2008.0
59,,,,,10.0,10.0,,,,2019.0,2019.0,2019.0,2019.0
60,10.0,9.0,6.0,8.0,9.0,9.0,6.0,5.0,2.0,2010.0,2010.0,2010.0,2010.0
61,3.0,7.0,1.0,7.0,9.0,10.0,2.0,1.0,5.0,2003.0,2003.0,2003.0,2003.0
62,3.0,7.0,3.0,3.0,9.0,10.0,3.0,2.0,10.0,2004.0,2004.0,2004.0,2004.0
63,8.0,8.0,5.0,9.0,9.0,10.0,5.0,6.0,9.0,2017.0,2017.0,2017.0,2017.0
64,2.0,,2.0,10.0,10.0,10.0,1.0,1.0,10.0,2014.0,2014.0,2014.0,2014.0
65,2.0,,2.0,10.0,10.0,10.0,1.0,1.0,10.0,2007.0,2007.0,2007.0,2007.0
66,2.0,,2.0,10.0,10.0,10.0,1.0,1.0,10.0,2005.0,2005.0,2005.0,2005.0
67,8.0,,5.0,1.0,8.0,2.0,7.0,7.0,1.0,2018.0,2018.0,2018.0,2018.0
68,9.0,8.0,5.0,1.0,8.0,2.0,7.0,7.0,1.0,2008.0,2008.0,2008.0,2008.0
69,,,,,,,,,5.0,2019.0,2019.0,2019.0,2019.0
70,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,7.0,2010.0,2010.0,2010.0,2010.0
71,4.0,8.0,4.0,8.0,7.0,8.0,5.0,5.0,7.0,2003.0,2003.0,2003.0,2003.0
72,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,2004.0,2004.0,2004.0,2004.0
73,10.0,8.0,10.0,,,10.0,9.0,8.0,10.0,2017.0,2017.0,2017.0,2017.0
74,10.0,10.0,,10.0,10.0,10.0,9.0,8.0,10.0,2014.0,2014.0,2014.0,2014.0
75,3.0,10.0,,10.0,10.0,10.0,9.0,,10.0,2007.0,2007.0,2007.0,2007.0
76,10.0,10.0,,10.0,10.0,10.0,9.0,9.0,10.0,2005.0,2005.0,2005.0,2005.0
77,2.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2018.0,2018.0,2018.0,2018.0
78,6.0,6.0,6.0,6.0,4.0,5.0,8.0,8.0,4.0,2008.0,2008.0,2008.0,2008.0
79,,,,10.0,,,8.0,,7.0,2019.0,2019.0,2019.0,2019.0
80,7.0,3.0,5.0,5.0,7.0,5.0,6.0,6.0,4.0,2010.0,2010.0,2010.0,2010.0
81,2.0,8.0,6.0,6.0,5.0,6.0,3.0,2.0,6.0,2003.0,2003.0,2003.0,2003.0
82,4.0,8.0,4.0,4.0,6.0,6.0,5.0,3.0,7.0,2004.0,2004.0,2004.0,2004.0
83,5.0,8.0,6.0,7.0,8.0,8.0,3.0,4.0,8.0,2017.0,2017.0,2017.0,2017.0
84,6.0,8.0,8.0,7.0,8.0,9.0,6.0,3.0,8.0,2014.0,2014.0,2014.0,2014.0
85,2.0,9.0,8.0,8.0,8.0,10.0,2.0,1.0,9.0,2007.0,2007.0,2007.0,2007.0
86,6.0,4.0,8.0,7.0,8.0,9.0,5.0,3.0,8.0,2005.0,2005.0,2005.0,2005.0
87,7.0,3.0,5.0,3.0,5.0,3.0,7.0,5.0,4.0,2018.0,2018.0,2018.0,2018.0
88,7.0,3.0,5.0,3.0,5.0,3.0,7.0,5.0,4.0,2008.0,2008.0,2008.0,2008.0
89,5.0,5.0,7.0,4.0,5.0,6.0,5.0,2.0,5.0,2019.0,2019.0,2019.0,2019.0
90,4.0,7.0,6.0,,8.0,,4.0,4.0,8.0,2010.0,2010.0,2010.0,2010.0
91,2.0,4.0,2.0,,9.0,,2.0,2.0,8.0,2003.0,2003.0,2003.0,2003.0
92,5.0,6.0,7.0,,8.0,,6.0,6.0,7.0,2004.0,2004.0,2004.0,2004.0
93,3.0,,2.0,,10.0,,2.0,2.0,10.0,2017.0,2017.0,2017.0,2017.0
94,5.0,5.0,6.0,,10.0,,4.0,2.0,10.0,2014.0,2014.0,2014.0,2014.0
95,2.0,,3.0,,10.0,,2.0,1.0,10.0,2007.0,2007.0,2007.0,2007.0
96,5.0,4.0,6.0,,10.0,,4.0,4.0,10.0,2005.0,2005.0,2005.0,2005.0
97,8.0,5.0,8.0,,7.0,,7.0,8.0,9.0,2018.0,2018.0,2018.0,2018.0
98,8.0,5.0,8.0,,7.0,,7.0,8.0,9.0,2008.0,2008.0,2008.0,2008.0
99,,,,,,,,3.0,10.0,2019.0,2019.0,2019.0,2019.0
100,6.0,6.0,6.0,6.0,7.0,4.0,7.0,7.0,3.0,2010.0,2010.0,2010.0,2010.0
101,4.0,6.0,3.0,5.0,7.0,5.0,3.0,3.0,6.0,2003.0,2003.0,2003.0,2003.0
102,4.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,2004.0,2004.0,2004.0,2004.0
103,9.0,8.0,7.0,9.0,8.0,10.0,8.0,9.0,9.0,2017.0,2017.0,2017.0,2017.0
104,9.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,2014.0,2014.0,2014.0,2014.0
105,8.0,9.0,3.0,10.0,10.0,10.0,10.0,10.0,9.0,2007.0,2007.0,2007.0,2007.0
106,8.0,6.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,2005.0,2005.0,2005.0,2005.0
107,5.0,2.0,8.0,1.0,5.0,1.0,8.0,7.0,1.0,2018.0,2018.0,2018.0,2018.0
108,10.0,6.0,9.0,2.0,5.0,1.0,8.0,9.0,1.0,2008.0,2008.0,2008.0,2008.0
109,10.0,5.0,,5.0,8.0,5.0,7.0,8.0,5.0,2019.0,2019.0,2019.0,2019.0
110,6.0,5.0,6.0,5.0,8.0,6.0,5.0,5.0,8.0,2010.0,2010.0,2010.0,2010.0
111,2.0,7.0,3.0,3.0,8.0,10.0,3.0,2.0,9.0,2003.0,2003.0,2003.0,2003.0
112,2.0,7.0,3.0,3.0,,10.0,3.0,3.0,10.0,2004.0,2004.0,2004.0,2004.0
113,9.0,9.0,7.0,6.0,9.0,8.0,5.0,4.0,9.0,2017.0,2017.0,2017.0,2017.0
114,9.0,9.0,7.0,10.0,10.0,10.0,8.0,4.0,10.0,2014.0,2014.0,2014.0,2014.0
115,4.0,9.0,4.0,9.0,10.0,10.0,10.0,2.0,10.0,2007.0,2007.0,2007.0,2007.0
116,5.0,9.0,5.0,9.0,10.0,10.0,7.0,5.0,9.0,2005.0,2005.0,2005.0,2005.0
117,6.0,0.0,6.0,0.0,2.0,0.0,4.0,5.0,0.0,2018.0,2018.0,2018.0,2018.0
118,8.0,1.0,8.0,1.0,3.0,3.0,7.0,8.0,2.0,2008.0,2008.0,2008.0,2008.0
119,,,,,10.0,,,5.0,10.0,2019.0,2019.0,2019.0,2019.0
120,7.0,2.0,6.0,7.0,7.0,7.0,7.0,6.0,8.0,2010.0,2010.0,2010.0,2010.0
121,6.0,2.0,4.0,5.0,7.0,8.0,4.0,6.0,8.0,2003.0,2003.0,2003.0,2003.0
122,5.0,2.0,4.0,5.0,6.0,6.0,5.0,6.0,6.0,2004.0,2004.0,2004.0,2004.0
123,,1.0,,9.0,10.0,10.0,10.0,8.0,10.0,2017.0,2017.0,2017.0,2017.0
124,,1.0,,9.0,10.0,10.0,10.0,8.0,10.0,2014.0,2014.0,2014.0,2014.0
125,,1.0,,9.0,10.0,10.0,10.0,8.0,10.0,2007.0,2007.0,2007.0,2007.0
126,,1.0,,9.0,10.0,10.0,10.0,7.0,10.0,2005.0,2005.0,2005.0,2005.0
127,7.0,2.0,4.0,6.0,7.0,7.0,6.0,7.0,8.0,2018.0,2018.0,2018.0,2018.0
128,8.0,1.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0,2008.0,2008.0,2008.0,2008.0
129,,,,,,,,,,2019.0,2019.0,2019.0,2019.0
130,4.0,6.0,4.0,9.0,8.0,5.0,7.0,7.0,7.0,2010.0,2010.0,2010.0,2010.0
131,2.0,8.0,4.0,10.0,8.0,6.0,3.0,2.0,7.0,2003.0,2003.0,2003.0,2003.0
132,2.0,7.0,4.0,9.0,8.0,6.0,4.0,4.0,7.0,2004.0,2004.0,2004.0,2004.0
133,,,,,,,,,,2017.0,2017.0,2017.0,2017.0
134,,,,,,,,,,2014.0,2014.0,2014.0,2014.0
135,2.0,7.0,2.0,10.0,10.0,8.0,9.0,4.0,9.0,2007.0,2007.0,2007.0,2007.0
136,2.0,6.0,2.0,10.0,10.0,8.0,9.0,4.0,9.0,2005.0,2005.0,2005.0,2005.0
137,,,,,,,,,,2018.0,2018.0,2018.0,2018.0
138,,,,,,,,,,2008.0,2008.0,2008.0,2008.0
139,,,,,,,,,,2019.0,2019.0,2019.0,2019.0
140,7.0,7.0,8.0,,3.0,4.0,5.0,5.0,4.0,2010.0,2010.0,2010.0,2010.0
141,,6.0,7.0,,6.0,8.0,2.0,2.0,9.0,2003.0,2003.0,2003.0,2003.0
142,3.0,6.0,7.0,7.0,9.0,,2.0,5.0,8.0,2004.0,2004.0,2004.0,2004.0
