,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle
132,8.0,6.0,1.0,7.0,9.0,8.0
133,4.0,0.0,3.0,1.0,9.0,0.0
134,10.0,5.0,0.0,0.0,0.0,0.0
135,8.0,1.0,10.0,1.0,10.0,3.0
136,10.0,0.0,5.0,0.0,5.0,0.0
137,5.0,1.0,4.0,3.0,7.0,0.0
138,5.0,5.0,5.0,5.0,5.0,5.0
139,5.0,0.0,8.0,2.0,3.0,0.0
140,5.0,0.0,5.0,5.0,5.0,5.0
141,5.0,5.0,5.0,2.0,5.0,8.0
142,5.0,5.0,1.0,6.0,5.0,0.0
143,2.0,0.0,1.0,2.0,2.0,0.0
144,4.0,2.0,3.0,1.0,5.0,5.0
145,5.0,5.0,5.0,5.0,10.0,0.0
146,5.0,1.0,0.0,5.0,10.0,9.0
147,7.0,9.0,8.0,8.0,2.0,0.0
149,2.0,0.0,0.0,0.0,2.0,0.0
150,2.0,1.0,6.0,6.0,1.0,1.0
151,6.0,0.0,7.0,0.0,7.0,0.0
152,5.0,5.0,2.0,5.0,0.0,10.0
153,3.0,2.0,3.0,7.0,8.0,10.0
154,5.0,3.0,0.0,5.0,8.0,2.0
155,6.0,4.0,5.0,5.0,5.0,4.0
156,7.0,1.0,5.0,2.0,5.0,4.0
157,4.0,2.0,1.0,0.0,3.0,1.0
158,5.0,2.0,6.0,2.0,5.0,0.0
159,10.0,10.0,9.0,10.0,9.0,1.0
160,9.0,2.0,2.0,0.0,5.0,8.0
161,10.0,7.0,10.0,10.0,10.0,10.0
162,9.0,3.0,9.0,2.0,2.0,2.0
164,6.0,3.0,4.0,5.0,7.0,5.0
166,5.0,0.0,1.0,3.0,3.0,0.0
168,5.0,1.0,3.0,2.0,7.0,0.0
170,5.0,0.0,3.0,3.0,3.0,2.0
172,2.0,1.0,8.0,0.0,6.0,10.0
173,9.0,1.0,4.0,8.0,7.0,10.0
174,6.0,8.0,5.0,7.0,3.0,9.0
175,6.0,10.0,5.0,8.0,0.0,4.0
176,4.0,2.0,4.0,3.0,3.0,0.0
177,4.0,4.0,3.0,3.0,3.0,5.0
179,4.0,1.0,2.0,6.0,2.0,8.0
180,7.0,1.0,1.0,1.0,8.0,5.0
181,3.0,4.0,8.0,10.0,10.0,0.0
182,5.0,6.0,4.0,4.0,8.0,8.0
183,6.0,3.0,6.0,3.0,2.0,10.0
185,2.0,6.0,2.0,5.0,5.0,4.0
186,3.0,2.0,3.0,5.0,6.0,1.0
188,5.0,5.0,5.0,5.0,8.0,10.0
189,7.0,7.0,8.0,4.0,8.0,7.0
