,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen_factor,lrecon_factor,galtan_factor,party_id,party_id,party_id
89,5,5,7,4,5,6,5,2,5,2019.0,2019.0,2019.0
90,4,7,6,8,8,7,4,4,8,2010.0,2010.0,2010.0
91,2,4,2,8,9,8,2,2,8,2003.0,2003.0,2003.0
92,5,6,7,8,8,5,6,6,7,2004.0,2004.0,2004.0
93,3,6,2,9,10,10,2,2,10,2017.0,2017.0,2017.0
94,5,5,6,8,10,6,4,2,10,2014.0,2014.0,2014.0
95,2,9,3,10,10,10,2,1,10,2007.0,2007.0,2007.0
96,5,4,6,10,10,10,4,4,10,2005.0,2005.0,2005.0
97,8,5,8,9,7,9,7,8,9,2018.0,2018.0,2018.0
98,8,5,8,8,7,9,7,8,9,2008.0,2008.0,2008.0
99,3,4,3,2,2,9,5,3,10,2019.0,2019.0,2019.0
100,6,6,6,6,7,4,7,7,3,2010.0,2010.0,2010.0
101,4,6,3,5,7,5,3,3,6,2003.0,2003.0,2003.0
102,4,6,4,5,5,5,5,6,7,2004.0,2004.0,2004.0
103,9,8,7,9,8,10,8,9,9,2017.0,2017.0,2017.0
104,9,9,7,10,10,10,10,10,9,2014.0,2014.0,2014.0
105,8,9,3,10,10,10,10,10,9,2007.0,2007.0,2007.0
106,8,6,7,10,10,10,9,9,9,2005.0,2005.0,2005.0
107,5,2,8,1,5,1,8,7,1,2018.0,2018.0,2018.0
108,10,6,9,2,5,1,8,9,1,2008.0,2008.0,2008.0
109,10,5,9,5,8,5,7,8,5,2019.0,2019.0,2019.0
110,6,5,6,5,8,6,5,5,8,2010.0,2010.0,2010.0
111,2,7,3,3,8,10,3,2,9,2003.0,2003.0,2003.0
112,2,7,3,3,9,10,3,3,10,2004.0,2004.0,2004.0
113,9,9,7,6,9,8,5,4,9,2017.0,2017.0,2017.0
114,9,9,7,10,10,10,8,4,10,2014.0,2014.0,2014.0
115,4,9,4,9,10,10,10,2,10,2007.0,2007.0,2007.0
116,5,9,5,9,10,10,7,5,9,2005.0,2005.0,2005.0
117,6,0,6,0,2,0,4,5,0,2018.0,2018.0,2018.0
118,8,1,8,1,3,3,7,8,2,2008.0,2008.0,2008.0
119,3,9,10,10,10,9,6,5,10,2019.0,2019.0,2019.0
120,7,2,6,7,7,7,7,6,8,2010.0,2010.0,2010.0
121,6,2,4,5,7,8,4,6,8,2003.0,2003.0,2003.0
122,5,2,4,5,6,6,5,6,6,2004.0,2004.0,2004.0
123,10,1,10,9,10,10,10,8,10,2017.0,2017.0,2017.0
124,7,1,8,9,10,10,10,8,10,2014.0,2014.0,2014.0
