"","econ_interven","environment","redistribution","civlib_laworder","immigrate_policy","sociallifestyle","lrgen","lrecon","galtan","party_id","RC1","RC2"
"3166",1,3,1,3,3,2,2,1,3,1201,-0.680598291854684,-1.34137340232756
"3167",0,1,0,9,3,8,0,0,10,1201,0.528564468123471,-2.21820621475518
"3168",7,3,6,8,7,7,8,8,8,1202,0.37610015060456,0.585596872466179
"3169",10,4,8,9,8,10,9,9,10,1202,0.781401432463769,1.51284925286375
"3170",9,5,4,4,10,8,9,9,10,1202,0.486301701325997,0.681351664852863
"3171",8,8,NA,8,2,8,8,8,7,1202,0.299269243374752,1.13756403630249
"3172",7,8,7,8,5,6,8,8,8,1202,0.456961711036743,1.00209039104305
"3173",9,6,7,8,7,9,8,8,9,1202,0.711008431279386,1.22886748673688
"3174",7,7,6,7,7,8,8,8,9,1202,0.712298507374593,0.686339056632046
"3175",9,9,10,9,10,10,10,10,10,1202,1.41599034809231,1.8187574424688
"3176",5,3,5,6,6,5,5,6,7,1205,-0.0332698426940092,0.0983919883313623
"3177",3,4,5,4,4,1,4,4,4,1205,-0.703082439018483,-0.0609863419491829
"3178",5,5,4,4,4,4,4,4,4,1205,-0.374405430665674,0.0737783626685167
"3179",5,5,4,5,5,1,4,4,3,1205,-0.465675297213748,0.143414299695633
"3180",4,8,NA,8,2,3,4,4,5,1205,0.0462678512420572,0.0340855197767795
"3181",6,3,2,2,6,5,4,3,5,1205,-0.441114693894178,-0.196002207869767
"3182",5,5,3,4,2,2,3,3,3,1205,-0.766411364364467,-0.0247861702927729
"3183",4,2,4,3,2,2,5,4,4,1205,-1.11893668548558,-0.0861964288126829
"3184",7,4,2,3,7,6,5,5,5,1206,-0.0807210020307809,-0.036750853611603
"3185",5,5,6,5,6,7,6,7,8,1206,0.203111683533882,0.313334278631773
"3186",7,4,6,7,7,6,7,7,8,1206,0.245662285565635,0.679786914746883
"3187",5,3,6,6,5,6,6,5,8,1206,-0.0682348714501494,0.284176611569178
"3188",7,6,6,7,5,7,7,7,8,1206,0.306744244668871,0.729587383158791
"3189",6,8,NA,8,2,7,6,6,5,1206,0.313043992174206,0.632394525372743
"3190",9,9,10,9,7,9,7,7,9,1206,0.98901938563738,1.90597753274533
"3191",8,7,8,7,4,4,7,8,5,1206,-0.139075280562446,1.51770056825807
"3192",4,3,4,5,4,3,3,5,4,1208,-0.487800406834903,-0.186313215018546
"3193",1,0,0,0,2,0,2,1,0,1208,-1.56209755279213,-1.45383251622693
"3194",1,4,0,4,1,1,0,0,1,1208,-0.769629357444126,-1.47890247086257
"3195",1,2,2,1,2,1,1,1,1,1208,-1.23524455529431,-1.0500469545888
"3196",1,1,3,0,1,1,0,0,1,1208,-1.57318445215981,-0.825297795777264
"3197",4,8,NA,8,2,3,0,0,6,1208,0.0462678512420572,0.0340855197767795
"3198",1,2,1,2,0,1,1,1,1,1208,-1.30662876381731,-1.25333183556496
"3199",0,1,0,0,0,0,0,0,0,1208,-1.64093307629539,-1.60807664230904
"3200",2,2,2,3,3,3,2,3,4,1210,-0.744412998391991,-0.984985642611343
"3201",0,1,0,9,NA,8,0,0,10,1210,0.932383972940064,-2.27955250374127
"3202",0,2,0,1,0,1,0,0,2,1210,-1.33795820818604,-1.64704117788276
"3203",1,3,1,2,3,2,2,1,3,1210,-0.793389299827163,-1.312939172488
"3204",4,8,NA,8,2,3,1,1,6,1210,0.0462678512420572,0.0340855197767795
"3205",0,5,0,5,2,5,0,0,6,1210,0.00304316528500656,-1.86323009432372
"3206",0,NA,0,5,4,8,1,0,8,1210,0.560353619196158,-2.00071282870555
"3207",0,1,3,0,2,5,1,1,2,1210,-0.999571438938365,-1.20880394275235
"3208",0,2,0,5,2,5,0,0,4,1211,-0.255762339320633,-1.9460683543842
"3209",0,0,0,9,3,8,0,0,10,1211,0.442295966588258,-2.24581896810867
"3210",2,1,1,3,3,2,2,2,2,1211,-0.903401672455489,-1.18202400880636
"3211",4,8,NA,8,2,3,1,1,6,1211,0.0462678512420572,0.0340855197767795
"3212",0,1,3,0,2,3,1,1,2,1211,-1.20740215614168,-1.13251782457704
"3214",3,2,3,5,3,3,4,5,5,1211,-0.600292546050787,-0.619710530133104
"3215",0,1,0,1,0,1,0,0,0,1211,-1.42422670972125,-1.67465393123625
"3217",2,1,2,0,3,2,0,1,1,1250,-1.2729698824463,-0.889152647358503
"3218",5,2,4,3,2,2,5,5,3,1250,-1.16920306301596,0.128378471415494
"3219",2,1,2,3,5,3,3,3,2,1250,-0.615311097358355,-1.04531641675741
"3220",5,0,3,5,NA,5,5,5,4,1250,-0.5255408253089,-0.343339068074218
"3221",4,8,NA,8,2,3,1,3,5,1250,0.0462678512420572,0.0340855197767795
"3222",3,2,3,4,4,4,5,6,5,1250,-0.501482994137182,-0.64577836977749
"3224",4,5,4,5,5,4,4,4,3,501,-0.103662843878392,-0.18558977779551
"3225",4,2,2,1,3,1,4,4,2,501,-1.27835848660102,-0.422681264300562
"3226",5,3,1,1,2,8,2,4,1,501,-0.591438867595625,-0.638704685865369
"3227",2,3,3,3,4,1,4,4,2,501,-0.789485198849047,-0.689877109549653
"3228",4,2,4,3,4,2,4,4,3,501,-0.903566282916733,-0.118914449605264
"3229",4,3,3,1,5,0,4,4,2,501,-1.111830127172,-0.182074800722816
"3230",3,4,3,4,4,2,4,4,2,501,-0.536776708270074,-0.514266744895199
"3231",3,1,1,2,4,1,3,3,2,501,-1.06268921527558,-0.917230830047259
"3232",0,3,2,2,6,1,3,3,7,501,-0.555177863118544,-1.33087937288821
"3233",3,2,0,5,1,1,4,3,1,501,-0.929908107602831,-1.13341240695275
"3234",4,4,7,3,4,2,3,3,3,501,-0.824614838066431,0.559017072889259
"3235",4,7,4,4,4,4,4,4,2,501,-0.151602050064869,-0.0855710308526792
"3236",2,10,0,0,4,0,3,5,5,501,-0.534308512401525,-0.995848103256428
"3237",5,5,4,6,4,2,4,4,6,501,-0.356654131924035,0.0931960211647092
"3238",3,3,4,3,5,1,4,4,3,501,-0.763261561168376,-0.284092547788586
"3239",7,7,7,7,7,6,8,8,7,502,0.4732726040979,0.970193846736536
"3240",8,7,3,8,7,8,8,8,7,502,0.868408696036818,0.249773711233123
"3241",6,7,7,7,7,8,8,8,8,502,0.731369698831597,0.679332828333049
"3242",10,8,8,10,9,0,9,9,10,502,0.307798061844933,1.95993761691841
"3243",7,8,6,7,5,5,8,8,6,502,0.271450530535979,0.861099008041082
"3244",7,7,7,9,7,8,7,7,10,502,0.906685337246176,0.837039268882108
"3245",7,8,7,8,7,7,8,7,7,502,0.776247472207251,0.931229311162813
"3246",6,7,8,9,8,8,8,9,9,502,1.0334417299876,0.813674030186821
"3247",6,6,7,7,7,5,8,8,8,502,0.333355121491406,0.766149252242523
"3248",7,7,7,8,7,8,8,7,7,502,0.793894329273697,0.865473498721667
"3249",6,8,8,9,9,8,8,8,10,502,1.22739543280724,0.824927773144021
"3250",9,9,9,9,9,9,8,8,8,502,1.2355849742796,1.66569084002357
"3251",9,7,8,7,8,7,8,8,7,502,0.553145222849852,1.55241024963813
"3252",9,9,7,9,9,7,9,8,8,502,1.09014462922304,1.32683961434052
"3253",10,5,10,10,8,10,8,8,8,502,0.918070569824712,1.92716512023604
"3254",3,3,3,3,4,2,2,2,3,504,-0.735836217777766,-0.513445268409131
"3255",0,3,0,1,2,2,2,2,4,504,-0.932403945480313,-1.6902895044095
"3256",1,3,1,2,2,2,2,1,3,504,-0.901074501111588,-1.29658016209171
"3257",1,2,3,2,5,2,3,3,5,504,-0.726677770940276,-0.958132602775707
"3258",0,4,0,1,1,1,2,1,2,504,-1.05773600383118,-1.60817468157207
"3259",0,0,0,0,1,10,1,2,0,504,-0.580362790529582,-2.03347899693537
"3260",2,4,1,NA,4,NA,2,2,1,504,-0.515240329908011,-1.1222024880349
"3261",0,10,0,0,0,0,1,2,1,504,-0.864516562478467,-1.35956186212762
"3262",1,3,2,3,3,1,2,2,2,504,-0.815708836529718,-1.09566167131072
"3263",0,3,1,1,3,0,2,2,2,504,-1.06374464747258,-1.4227937247013
"3264",1,1,0,2,3,1,1,1,5,504,-1.03864647542587,-1.5375902920365
"3265",1,5,1,2,3,2,2,2,1,504,-0.620852296756736,-1.25771366578102
"3266",2,1,1,0,2,0,2,2,0,504,-1.55729061486067,-1.00407619071608
"3267",0,4,0,1,3,1,2,1,2,504,-0.842365601262334,-1.64089270236465
"3268",2,2,8,2,2,1,2,2,2,504,-1.35989104129246,0.381505747374898
"3270",5,2,4,2,4,2,6,5,6,506,-1.06662366841959,0.124094680462472
"3271",4,5,5,4,5,4,6,5,5,506,-0.247649037924246,0.0504131239732295
"3272",2,6,5,4,6,4,7,6,7,506,0.0468374199561493,-0.367482933525925
"3273",5,4,6,4,5,3,6,6,5,506,-0.519294461664872,0.483087001864751
"3274",5,5,6,5,6,1,7,7,6,506,-0.420380468076073,0.542192633157703
"3275",6,4,6,5,3,3,5,5,4,506,-0.672140233791621,0.70194569304595
"3276",5,7,8,6,7,5,8,7,7,506,0.325903806511144,0.815190007136576
"3277",5,NA,5,5,5,5,5,5,5,506,-0.0812090488804861,0.198410735274193
"3278",5,6,6,4,6,5,7,6,7,506,-0.0312415401067018,0.445667380000132
"3279",7,6,7,7,7,3,7,8,7,506,0.0752580267577089,1.05701027064601
"3280",5,5,4,5,5,5,5,5,3,506,-0.0500138628071113,-0.00915793665498756
"3281",5,5,5,NA,5,NA,5,5,5,506,0.0497023360010786,0.159435244842674
"3282",4,4,3,6,5,5,6,6,6,506,0.0579702072339076,-0.487348492005395
"3283",5,NA,5,5,5,7,5,5,6,506,0.143875368629875,0.127647167769581
"3284",3,3,2,2,3,0,1,2,1,511,-1.13294795816461,-0.599934581927152
"3285",5,7,5,5,5,0,3,5,2,511,-0.428248838818356,0.444351537419449
"3286",3,4,4,2,3,1,4,4,3,511,-1.00515447017449,-0.195327543802955
"3287",5,3,2,2,4,2,4,4,5,511,-0.917964794737627,-0.263429910042398
"3288",2,2,1,4,1,0,4,4,2,511,-1.12754328271996,-1.07384134632454
"3289",4,4,4,5,3,3,3,3,4,511,-0.509217106584114,-0.142341451268765
"3290",3,4,5,4,4,2,4,4,3,511,-0.599167080416824,-0.0991294010368379
"3291",4,4,3,4,4,4,3,3,1,511,-0.379212368597134,-0.375977962842332
"3293",3,5,4,4,5,4,3,4,5,511,-0.166187474320492,-0.371730448184128
"3294",3,3,3,3,4,1,4,4,2,511,-0.839751576379425,-0.475302209321476
"3295",3,NA,3,4,4,3,4,4,3,511,-0.385413673824048,-0.537222789638434
"3296",2,2,1,1,2,10,1,1,0,511,-0.319077519336384,-1.3863282580787
"3297",4,4,4,3,3,2,3,4,4,511,-0.838714481130731,-0.0473299325019919
"3298",5,4,1,1,3,2,3,2,5,511,-1.02097731638594,-0.398592588382238
"3299",5,3,2,2,3,2,2,3,5,513,-1.02564999602205,-0.247070899646107
"3300",2,2,1,1,2,10,1,1,0,513,-0.319077519336384,-1.3863282580787
"3304",3,NA,3,2,NA,2,3,3,3,513,-0.953099922072288,-0.475247792735749
"3305",3,4,2,2,4,0,2,3,2,513,-0.938994255344975,-0.588680838969951
"3306",4,4,3,4,4,3,4,4,4,513,-0.483127727198793,-0.337834903754677
"3307",3,3,3,3,3,2,3,3,4,513,-0.843521419062191,-0.49708625801284
"3308",2,2,2,4,1,1,3,3,2,513,-1.05482311019168,-0.904415733483011
"3310",4,4,3,4,5,4,4,4,2,513,-0.271527167312709,-0.392336973238622
"3312",5,7,5,5,5,0,3,2,2,513,-0.428248838818356,0.444351537419449
"3313",3,5,4,4,5,2,2,3,4,513,-0.374018191523811,-0.295444330008818
"3314",7,6,8,7,7,2,7,7,7,517,-0.0598525179173252,1.30272200166285
"3317",6,6,7,7,7,6,7,7,6,517,0.437270480093065,0.728006193154868
"3318",5,4,3,6,6,4,6,6,5,517,0.0114736723862945,-0.250989543085853
"3319",5,6,6,6,7,5,7,6,8,517,0.302025677122681,0.372439909924724
"3320",6,4,6,6,6,5,6,6,6,517,-0.0284629047625492,0.54814831384221
"3321",8,6,4,3,6,4,8,8,7,517,-0.336356667125226,0.740832025753517
"3322",7,7,8,8,7,5,8,7,7,517,0.450953067395345,1.18747134791381
"3323",6,5,6,6,7,2,7,7,7,517,-0.146255277747889,0.673831234062376
"3325",6,6,6,5,7,4,6,6,6,517,0.0350529330181639,0.653592099080115
"3327",5,5,6,7,7,6,6,5,5,517,0.432463542161605,0.27824986764402
"3328",5,5,3,6,5,5,6,6,5,517,0.0939723312387423,-0.245160838423727
"3329",2,3,2,1,3,1,2,1,4,524,-1.09155723000505,-0.824218311403425
"3331",2,2,NA,0,5,4,1,2,3,524,-0.775978335568269,-0.887516564201231
"3332",3,3,2,1,4,1,NA,1,0,524,-1.03413840625101,-0.626002421571538
"3333",0,0,0,0,1,10,0,1,0,524,-0.580362790529582,-2.03347899693537
"3334",2,2,3,3,1,0,2,2,1,524,-1.30272466283919,-0.630269772626617
"3335",3,6,5,2,0,0,0,1,1,524,-1.29078361563237,0.154686725109733
"3336",0,1,0,1,2,2,2,1,3,524,-1.10494094855074,-1.74551501111649
"3338",0,2,1,2,2,1,1,1,1,524,-1.04099198371808,-1.50062475658572
"3340",2,1,0,1,3,0,1,1,1,524,-1.30561921953039,-1.25643810288111
"3342",0,4,3,3,2,2,1,1,4,524,-0.714138986220267,-1.09683919494759
"3343",1,NA,2,1,3,1,1,2,1,524,-1.08442510324228,-1.05259958830835
"3344",0,0,0,0,1,10,1,1,0,525,-0.580362790529582,-2.03347899693537
"3345",2,1,2,2,2,1,2,2,2,525,-1.25898842638743,-0.891519037553675
"3346",1,1,2,2,2,1,2,2,3,525,-1.20872204885705,-1.10609393778185
"3347",2,2,1,1,4,1,3,2,4,525,-1.03894534418247,-1.07575874708239
"3348",2,2,9,1,1,1,1,2,1,525,-1.61156243662274,0.633867659539928
"3349",2,2,1,2,2,1,1,3,1,525,-1.14152473877884,-1.07147495612936
"3350",2,3,2,2,2,1,2,2,2,525,-1.086451423317,-0.836293530846693
"3351",1,2,2,1,2,0,2,2,1,525,-1.33915991389597,-1.01190389550115
"3352",0,10,0,0,0,0,1,2,3,525,-0.864516562478467,-1.35956186212762
"3353",1,1,1,0,2,0,1,1,0,525,-1.50702423733029,-1.21865109094426
"3354",1,2,0,1,2,1,2,2,2,525,-1.17285418314756,-1.46518429844716
"3355",3,2,2,3,2,0,4,4,0,525,-1.21411065301177,-0.639622554723911
"3356",0,1,0,0,0,0,2,2,0,525,-1.64093307629539,-1.60807664230904
"3357",1,3,1,1,2,1,2,2,0,525,-1.11778086768573,-1.23000287316449
"3358",0,2,2,2,2,1,3,3,1,525,-1.07218716979146,-1.29305608465654
"3359",7,6,6,NA,6,5,7,6,6,526,0.133284573567866,0.807996740333524
"3360",7,6,6,8,7,8,7,8,9,526,0.738821013811859,0.630292073438996
"3361",6,7,7,8,8,6,7,8,8,526,0.744015190885182,0.71082570627251
"3362",8,7,6,6,7,3,7,7,4,526,0.0296643288634396,1.12006348213806
"3363",10,9,7,5,7,5,8,7,4,526,0.165513100030574,1.76415557289482
"3364",7,5,8,5,8,4,7,7,4,526,-0.0561871169097529,1.23933257941687
"3366",9,7,9,10,8,2,8,7,8,526,0.340746267685617,1.8653915274869
"3367",7,6,6,7,6,5,7,6,5,526,0.206598728749978,0.78951449093781
"3368",8,5,4,8,4,4,7,8,3,526,-0.0740405313668946,0.603766143994813
"3369",10,7,9,9,8,0,6,9,1,526,-0.0301418350205588,2.18468677572995
"3370",6,6,6,5,6,4,7,7,6,526,-0.0726322682662608,0.669951109476406
"3371",7,8,8,7,7,9,8,8,10,526,0.840091995364716,1.09094609475624
"3372",10,9,5,3,3,2,8,8,5,526,-0.740165424710311,1.5857519075637
"3373",8,6,7,7,5,1,6,7,4,526,-0.398209470544838,1.38058930984208
"3374",8,8,9,9,10,9,10,9,10,527,1.30726805155919,1.40714417604561
"3375",10,10,10,10,10,10,10,10,10,527,1.56478348006963,2.03251086621091
"3376",8,9,9,10,9,10,9,9,9,527,1.50255771838412,1.38453865086818
"3377",8,8,2,10,9,10,10,9,9,527,1.63465551936253,-0.0960548059895754
"3378",9,9,9,9,10,9,10,10,9,527,1.34327017556403,1.64933182962728
"3379",8,9,7,9,9,9,9,9,9,527,1.34824172395673,1.03597859593703
"3380",8,9,9,10,10,9,10,10,10,527,1.50632756106689,1.40632269955954
"3381",10,10,10,10,10,10,10,10,10,527,1.56478348006963,2.03251086621091
"3382",8,10,9,10,10,10,10,9,10,527,1.69651142120376,1.39579239382538
"3383",8,10,6,10,10,9,9,9,9,527,1.68618162082222,0.811229437125492
"3384",10,10,8,10,10,10,NA,9,10,527,1.62717385221638,1.61737352235255
"3385",5,10,9,10,10,10,10,9,10,527,1.84731055379489,0.752067693140847
"3386",10,10,10,10,10,0,10,9,10,527,0.525629894053035,2.41394145708746
"3387",9,10,9,10,10,10,9,9,10,527,1.64624504367338,1.61036729405356
"3388",8,0,9,10,10,10,10,10,10,527,0.833826405851627,1.11966486029047
"3389",6,6,6,NA,5,6,6,6,6,550,0.117746054030616,0.587276617825739
"3390",5,6,6,8,6,4,7,7,7,550,0.316007133181554,0.370073519729552
"3391",4,6,4,5,5,4,7,6,5,550,-0.0173943423431788,-0.157977024442019
"3392",5,5,5,5,4,4,4,4,5,550,-0.29280960876657,0.252912804758138
"3393",8,6,6,8,6,2,7,8,7,550,-0.0426227166129001,1.09008433858939
"3394",7,7,7,7,6,7,7,7,6,550,0.469502761415135,0.948409798045171
"3395",5,4,4,1,5,4,8,9,5,550,-0.691361754833899,0.115109288437412
"3396",6,6,5,3,5,6,6,7,5,550,-0.16687358221895,0.459323789447323
"3397",4,4,6,5,5,3,5,5,6,550,-0.356237076162014,0.240077871797015
"3398",7,5,6,6,NA,3,6,6,3,550,-0.286439658988573,0.879709293916221
"3399",10,10,8,6,5,6,8,9,8,550,0.221922379497701,1.96547773004286
"3400",8,8,9,7,6,7,7,7,7,550,0.44311451327322,1.6057347954852
"3401",7,6,8,6,5,4,8,8,5,550,-0.180183211255335,1.28758813411968
"3403",5,6,7,3,6,5,6,7,6,550,-0.175227734152555,0.681670281768871
"3404",5,5,4,4,NA,NA,4,6,4,528,-0.330200397347075,0.0737699731174099
"3405",0,10,0,0,0,0,2,2,3,528,-0.864516562478467,-1.35956186212762
"3406",3,2,2,2,3,1,2,2,1,528,-1.11530110109817,-0.665690394368297
"3407",2,1,3,2,3,2,3,3,1,528,-1.07858305257472,-0.73845243510844
"3408",1,2,2,1,3,1,2,2,3,528,-1.12755935400989,-1.06640596498509
"3409",2,2,7,NA,2,NA,2,2,2,528,-1.19569517968723,0.129656341822983
"3410",4,3,2,3,4,1,3,4,2,528,-0.858822767836429,-0.468295981022479
"3411",3,0,3,2,2,1,3,3,1,528,-1.42671849152639,-0.496988218749808
"3412",0,0,0,0,1,10,1,1,0,528,-0.580362790529582,-2.03347899693537
"3413",2,1,2,1,2,0,3,2,1,528,-1.47569479296156,-0.824941748626461
"3414",1,1,2,2,4,1,3,3,2,528,-0.993351646288199,-1.13881195857443
"3415",3,2,3,2,2,1,3,3,2,528,-1.25418148845597,-0.441762712042827
"3416",2,0,0,0,0,0,3,2,0,528,-1.82773433289136,-1.20653959520617
"3417",3,1,4,4,4,1,4,4,1,528,-0.930692757550748,-0.351393273938835
"3418",2,1,1,1,2,2,3,3,2,528,-1.23666888968487,-1.10879653873095
"3419",0,1,0,3,3,0,1,1,1,1601,-0.979504448524676,-1.74245636301658
"3420",3,0,0,1,3,0,2,1,0,1601,-1.44215409859598,-1.06947595600643
"3421",1,2,2,3,3,1,1,2,2,1601,-0.901977338064931,-1.12327442466421
"3422",2,3,2,5,3,1,2,2,3,1601,-0.640393198115139,-0.93795523076166
"3423",2,3,1,2,2,1,2,2,3,1601,-1.05525623724363,-1.04386220277587
"3424",1,1,NA,3,1,1,2,1,3,1601,-1.19893696425799,-1.1493044580145
"3425",1,0,0,2,0,0,1,1,0,1601,-1.55188593941602,-1.47798295511347
"3426",0,0,0,0,0,0,1,1,0,1601,-1.7272015778306,-1.63568939566253
"3427",1,2,0,3,2,0,2,3,5,1601,-1.05118752580427,-1.48390969903863
"3428",0,0,0,0,0,0,3,5,5,1601,-1.7272015778306,-1.63568939566253
"3429",1,3,1,3,2,1,3,3,1,1601,-0.892198851740768,-1.28687133284361
"3430",1,2,1,2,2,1,1,1,2,1601,-1.09125836124846,-1.28604985635754
"3431",0,3,0,0,0,0,2,0,3,1601,-1.46839607322496,-1.55285113560206
"3432",1,2,0,1,1,0,1,1,0,1601,-1.38445474303365,-1.41068222896322
"3433",2,2,0,2,1,0,2,2,3,1601,-1.32193011259155,-1.2245415585746
"3434",2,3,1,3,3,1,2,2,2,1601,-0.834780027986722,-1.08865544301172
