"","econ_interven","environment","redistribution","civlib_laworder","immigrate_policy","sociallifestyle","lrgen","lrecon","galtan","party_id","RC1","RC2"
"1",5,5,8,6,7,5,5,5,6,2010,0.153366803440718,0.759964500429594
"2",0,5,1,7,5,8,NA,3,9,2003,0.832231674814841,-1.8760360905255
"3",5,5,8,6,3,5,4,5,5,2004,-0.277374001696981,0.825400542014756
"4",5,5,8,6,6,5,6,7,9,2017,0.0456816021562929,0.776323510825885
"5",2,5,8,9,10,8,6,7,9,2014,1.27734063960754,-0.13256909822545
"6",2,5,8,9,10,8,8,3,9,2007,1.27734063960754,-0.13256909822545
"7",2,6,8,9,10,8,6,4,9,2005,1.36360914114275,-0.104956344871959
"8",10,2,6,0,2,1,9,9,1,2018,-1.9252137053337,1.73983606502107
"9",10,2,6,0,2,1,9,9,1,2008,-1.9252137053337,1.73983606502107
"11",2,7,6,8,8,8,5,5,8,2010,1.18410660428339,-0.43132868474469
"12",2,7,5,8,8,8,4,5,8,2003,1.21530179035676,-0.63889735667387
"13",4,7,6,7,7,6,5,5,8,2004,0.65526692276241,0.118900474122824
"14",4,7,6,8,8,8,6,6,8,2017,1.08357384922263,-0.00217888428833531
"15",1,10,4,10,10,10,9,4,9,2014,2.20435199428328,-1.14407526741776
"16",0,8,1,10,10,10,10,2,10,2007,2.17566692696336,-2.03658169014046
"17",1,10,4,10,10,10,9,5,9,2005,2.20435199428328,-1.14407526741776
"18",6,4,5,4,5,1,6,8,2,2018,-0.746196370325194,0.566379348339058
"19",6,5,5,4,6,2,7,8,3,2008,-0.448327308903897,0.539490032208603
"20",2,7,3,8,7,7,NA,5,8,2019,1.06609160261743,-0.999532631048285
"21",4,2,5,8,5,NA,7,7,5,2010,0.0746036876121038,-0.193840879305047
"22",4,3,4,7,6,NA,4,4,7,2003,0.124612353371642,-0.338835742984875
"24",3,NA,4,9,10,NA,4,3,9,2017,1.6359535861531,-0.7073177813593
"26",2,NA,3,9,10,9,4,2,9,2007,1.72702263195354,-1.14780745958133
"27",2,NA,3,9,10,10,3,3,9,2005,1.81799771532492,-1.19009243167201
"28",8,7,6,3,5,9,7,7,5,2018,0.0994130539871094,1.00922583792338
"29",9,5,7,5,6,9,8,9,6,2008,0.178681704542312,1.30291643329835
"31",2,6,3,5,7,5,4,4,6,2010,0.433619359961462,-0.86555657670779
"32",3,7,1,6,8,7,2,3,7,2003,0.960318782573268,-1.15958562539564
"33",1,7,2,4,4,4,5,2,4,2004,0.0615874546730161,-1.14443307539557
"34",1,8,0,5,3,6,1,0,7,2017,0.423182852246352,-1.62031900351902
"35",1,9,3,8,9,8,8,3,8,2014,1.60818074438874,-1.22974310444972
"36",1,8,0,7,10,10,9,1,10,2007,1.81822271158892,-1.94427277232279
"37",1,8,2,9,10,10,10,2,10,2005,1.98141435538713,-1.58600388814355
"38",6,2,6,0,1,1,5,7,3,2018,-1.83183339649661,0.897895474504654
"39",7,5,7,2,4,3,7,9,4,2008,-0.898021118493173,1.22064569767918
"41",6,5,6,6,5,6,6,6,5,2010,0.0540357540898986,0.553977018504337
"42",2,4,4,3,5,3,3,3,4,2003,-0.418895964899465,-0.547340812838582
"43",5,5,4,4,5,4,5,6,5,2004,-0.266720229381249,0.0574193522722263
"44",6,NA,7,6,6,6,6,NA,7,2017,0.14346604453123,0.74932859304025
"45",5,NA,7,8,8,8,9,8,9,2014,0.928784059313948,0.396493847518555
"46",2,NA,8,9,10,9,10,9,10,2007,1.55810642635639,-0.114106012938449
"47",6,NA,8,9,9,9,9,8,10,2005,1.31837051617862,0.782642801053343
"48",7,3,4,6,5,6,6,7,7,2018,-0.106377254364157,0.298189068167172
"49",8,5,6,7,6,6,7,7,8,2008,0.173979208286045,0.938333578724842
"51",4,7,7,6,9,4,7,8,7,2010,0.518820414082088,0.398471473274292
"52",0,8,0,8,10,10,3,2,8,2003,1.98128009709178,-2.18728190239053
"53",7,7,5,2,8,1,6,6,3,2004,-0.440183655341616,0.871583937117954
"54",8,8,2,9,10,7,6,7,8,2017,1.3178036368695,0.0304495907166581
"55",8,8,7,9,10,9,7,7,8,2014,1.36965842370594,0.99200683218725
"56",0,9,0,10,10,10,2,2,9,2007,2.29313061457195,-2.21653760871615
"57",6,9,6,10,10,10,6,7,10,2005,1.80436123294943,0.316323824227992
"58",7,3,4,3,9,1,6,7,1,2018,-0.533586266152191,0.508771011538962
"59",8,8,8,7,9,8,8,8,6,2008,0.901280661801528,1.31094603327949
"61",10,9,6,8,9,9,6,5,2,2010,1.16611314699687,1.28599395430376
"62",3,7,1,7,9,10,2,1,5,2003,1.49254106763515,-1.31880804289446
"63",3,7,3,3,9,10,3,2,10,2004,0.978986663598485,-0.78993377967786
"64",8,8,5,9,9,10,5,6,9,2017,1.42827895316993,0.555085439637525
"65",2,NA,2,10,10,10,1,1,10,2014,1.98355103475458,-1.41919214510237
"66",2,NA,2,10,10,10,1,1,10,2007,1.98355103475458,-1.41919214510237
"67",2,NA,2,10,10,10,1,1,10,2005,1.98355103475458,-1.41919214510237
"68",8,NA,5,1,8,2,7,7,1,2018,-0.503639107319575,1.07506937043036
"69",9,8,5,1,8,2,7,7,1,2008,-0.46332355823798,1.3186376616797
"71",8,8,8,8,6,7,8,8,7,2010,0.587100707319073,1.36973189371646
"72",4,8,4,8,7,8,5,5,7,2003,1.12454752162017,-0.373344464396915
"73",5,5,5,5,4,5,5,5,3,2004,-0.188894250164911,0.214769745670483
"74",10,8,10,NA,NA,10,9,8,10,2017,1.20869421718864,2.01816422901757
"75",10,10,NA,10,10,10,9,8,10,2014,1.59909818475034,1.80418532708881
"76",3,10,NA,10,10,10,9,NA,10,2007,2.08042284966749,-0.559248963014524
"77",10,10,NA,10,10,10,9,9,10,2005,1.59909818475034,1.80418532708881
"78",2,3,2,4,2,2,3,4,3,2018,-0.756954048770383,-0.931305049613466
"79",6,6,6,6,4,5,8,8,4,2008,-0.0712963042609722,0.636091841341773
"81",7,3,5,5,7,5,6,6,4,2010,-0.13890840444282,0.539617008230985
"82",2,8,6,6,5,6,3,2,6,2003,0.513906768817053,-0.2214843223479
"83",4,8,4,4,6,6,5,3,7,2004,0.357867571242512,-0.166962416467079
"84",5,8,6,7,8,8,3,4,8,2017,1.00678496525499,0.268442999132891
"85",6,8,8,7,8,9,6,3,8,2014,0.998043574179519,0.860012184131774
"86",2,9,8,8,8,10,2,1,9,2007,1.50208395241038,-0.0372519523546575
"87",6,4,8,7,8,9,5,3,8,2005,0.652969568038666,0.749561170717811
"88",7,3,5,3,5,3,7,5,4,2018,-0.787691540159946,0.705489606877993
"89",7,3,5,3,5,3,7,5,4,2008,-0.787691540159946,0.705489606877993
"90",5,5,7,4,5,6,5,2,5,2019,-0.152475070398055,0.603839249884457
"91",4,7,6,NA,8,NA,4,4,8,2010,0.838355569879242,0.0787539711396039
"92",2,4,2,NA,9,NA,2,2,8,2003,0.861922434017077,-1.25933993355919
"93",5,6,7,NA,8,NA,6,6,7,2004,0.573551422250455,0.503730011423122
"95",5,5,6,NA,10,NA,4,2,10,2014,1.02507075682693,0.144494900908917
"97",5,4,6,NA,10,NA,4,4,10,2005,0.991203717061087,0.0982960594740035
"98",8,5,8,NA,7,NA,7,8,9,2018,-0.183722031388731,1.46558513989347
"99",8,5,8,NA,7,NA,7,8,9,2008,-0.183722031388731,1.46558513989347
"101",6,6,6,6,7,4,7,7,3,2010,0.147843940990643,0.625157869240556
"102",4,6,3,5,7,5,3,3,6,2003,0.333086604900705,-0.436406776251435
"103",4,6,4,5,5,5,5,6,7,2004,0.0865210162584805,-0.196120083529674
"104",9,8,7,9,8,10,8,9,9,2017,1.20793700220838,1.20115669412035
"105",9,9,7,10,10,10,10,10,9,2014,1.62236691428492,1.1676171968417
"106",8,9,3,10,10,10,10,10,9,2007,1.79741403610879,0.122767608896805
"107",8,6,7,10,10,10,9,9,9,2005,1.41382778720966,0.870204036553055
"108",5,2,8,1,5,1,8,7,1,2018,-1.3004255780028,1.00458764671012
"109",10,6,9,2,5,1,8,9,1,2008,-1.12508763761474,2.36704760335459
"110",10,5,NA,5,8,5,7,8,5,2019,-0.10151113159556,1.83453578741729
"111",6,5,6,5,8,6,5,5,8,2010,0.264300349970694,0.533334217155024
"112",2,7,3,3,8,10,3,2,9,2003,0.921567839844438,-0.988149669509747
"113",2,7,3,3,NA,10,3,3,10,2004,0.743887257725138,-0.961157302355868
"114",9,9,7,6,9,8,5,4,9,2017,0.855686963907259,1.37399924477154
"115",9,9,7,10,10,10,8,4,10,2014,1.62236691428492,1.1676171968417
"116",4,9,4,9,10,10,10,2,10,2007,1.85449335218446,-0.499529090247164
"117",5,9,5,9,10,10,7,5,9,2005,1.7730317885807,-0.0773855180898067
"118",6,0,6,0,2,0,4,5,0,2018,-2.00060055688427,0.864454016489037
"119",8,1,8,1,3,3,7,8,2,2008,-1.54503289749468,1.57713149665843
"121",7,2,6,7,7,7,7,6,8,2010,0.177040641096868,0.586418348952247
"122",6,2,4,5,7,8,4,6,8,2003,0.168030733430698,-0.0245684945428284
"123",5,2,4,5,6,6,5,6,6,2004,-0.0972188075266672,-0.146498266199405
"124",NA,1,NA,9,10,10,10,8,10,2017,1.03487187775635,-0.0747354567528953
"125",NA,1,NA,9,10,10,10,8,10,2014,1.03487187775635,-0.0747354567528953
"126",NA,1,NA,9,10,10,10,8,10,2007,1.03487187775635,-0.0747354567528953
"127",NA,1,NA,9,10,10,10,7,10,2005,1.03487187775635,-0.0747354567528953
"128",7,2,4,6,7,7,6,7,8,2018,0.126640005271139,0.199715234933445
"129",8,1,5,6,7,7,7,8,8,2008,-0.0410900598678281,0.594246053737312
"131",4,6,4,9,8,5,7,7,7,2010,0.86074065200167,-0.35893403407678
"132",2,8,4,10,8,6,3,2,7,2003,1.35051677670699,-0.799435616753367
"133",2,7,4,9,8,6,4,4,7,2004,1.1514572671993,-0.798614140267299
"136",2,7,2,10,10,8,9,4,9,2007,1.7498397670907,-1.35118985293311
"137",2,6,2,10,10,8,9,4,9,2005,1.66357126555548,-1.3788026062866
"141",7,7,8,NA,3,4,5,5,4,2010,-0.467192523450441,1.38772683004113
"142",NA,6,7,NA,6,8,2,2,9,2003,0.542993878116408,0.757529233018638
"143",3,6,7,7,9,NA,2,5,8,2004,0.85539769455388,0.0324919421339282
"144",3,6,7,8,9,10,7,NA,7,2017,1.33189245763217,-0.129442994512423
"145",3,6,7,8,9,10,7,5,6,2014,1.33189245763217,-0.129442994512423
"146",3,6,7,8,9,10,7,1,9,2007,1.33189245763217,-0.129442994512423
"147",3,6,7,8,8,9,NA,1,NA,2005,1.12029189774608,-0.0749409250284779
"148",7,3,7,3,2,3,5,7,4,2018,-1.17313751615997,1.16970398192523
"149",8,3,7,3,2,3,5,7,NA,2008,-1.22340389369035,1.3842788821534
"150",6,3,2,4,4,1,5,5,3,2019,-0.846564514924707,-0.0675804104056832
"151",4,7,6,7,6,7,5,5,3,2010,0.651497080079645,0.0971164254314593
"152",0,5,0,9,8,10,2,2,9,2003,1.61989519788977,-2.26583637149798
"153",5,6,5,5,4,6,5,6,5,2004,0.00128960997196165,0.204239439936319
"154",5,5,3,7,8,10,4,5,7,2017,1.04939573607279,-0.513387394890432
"155",4,6,3,9,10,10,4,6,9,2014,1.62688303365219,-0.789936022236817
"156",0,6,0,10,10,10,0,1,9,2007,2.03432510996631,-2.29937586877663
"157",2,6,2,10,10,10,2,5,9,2005,1.8714019827588,-1.45508872446191
"158",6,4,7,3,2,2,6,6,1,2018,-1.14051799569604,1.02088489413819
"159",7,5,7,4,3,4,7,7,3,2008,-0.67620894523098,1.1419931893087
"161",8,6,6,5,9,5,6,6,3,2010,0.253805939127915,1.01188081965623
"162",0,7,0,2,9,10,4,3,4,2003,1.11058034643727,-2.02793026631037
"163",9,7,5,1,5,4,5,5,4,2004,-0.664816946423148,1.26381582133977
"164",2,10,6,7,8,9,8,9,9,2017,1.43403645951821,-0.358199253932314
"165",1,10,4,10,10,10,9,10,9,2014,2.20435199428328,-1.14407526741776
"166",0,10,1,10,10,10,10,10,10,2007,2.34820393003379,-1.98135618343348
"167",1,10,4,10,10,10,9,10,9,2005,2.20435199428328,-1.14407526741776
"168",5,1,7,0,2,0,6,7,0,2018,-1.89526086389205,0.885060541543531
"169",10,6,9,8,9,9,8,9,7,2008,0.813722084171107,1.82586171003083
"171",6,4,5,6,4,5,7,7,7,2010,-0.212638121258024,0.373297662705611
"172",3,8,1,8,7,7,2,1,9,2003,1.16448409876901,-1.17248232132498
"173",4,6,3,5,3,4,5,5,8,2004,-0.201569558838653,-0.332827675578619
"174",4,7,2,7,6,6,4,5,9,2017,0.672362465771485,-0.695015203197607
"175",5,8,2,10,9,8,6,6,10,2014,1.57762393475035,-0.663493388498797
"176",2,8,1,10,9,10,1,1,10,2007,1.96744897061818,-1.59107287928782
"177",3,7,3,10,8,9,3,3,10,2005,1.55692315951975,-0.934471319070826
"178",8,0,6,3,3,1,8,9,3,2018,-1.55115972814151,1.15379905794277
"179",7,1,8,6,5,6,9,9,4,2008,-0.403695001728083,1.07323824917691
"180",2,NA,2,6,6,6,4,3,NA,2019,0.539328310710465,-1.13438862850929
"181",8,9,6,9,8,9,7,8,7,2010,1.27175170874568,0.844768934404141
"182",6,8,3,5,7,6,4,5,7,2003,0.509006211512033,0.00982547182424544
"183",8,9,4,3,6,5,5,6,5,2004,0.0263641960820731,0.785527226726334
"186",NA,10,NA,10,10,10,10,4,10,2007,1.82424808414,0.701707679670387
"187",NA,10,NA,10,10,10,10,4,10,2005,1.82424808414,0.701707679670387
"188",5,6,5,2,6,1,4,NA,2,2018,-0.641289804384922,0.44753940410069
"189",9,9,7,5,8,7,8,9,8,2008,0.531295396048696,1.45693554409504
"191",8,9,6,9,8,8,7,8,8,2010,1.16783635014402,0.882911993491796
"192",6,8,3,5,7,6,4,4,6,2003,0.509006211512033,0.00982547182424544
"193",8,9,4,3,6,4,5,6,5,2004,-0.0775511625195862,0.823670285813989
"198",6,6,5,2,6,1,5,NA,1,2018,-0.6915561819153,0.662114304328867
"199",9,9,7,5,9,8,8,9,9,2008,0.74289595593478,1.4024334746111
"201",5,5,5,5,4,3,7,6,5,2010,-0.396724967368229,0.291055863845793
"202",3,NA,7,NA,5,6,6,3,7,2003,0.140137447327087,0.136138943847485
"203",5,NA,NA,4,2,3,5,5,5,2004,-0.729296150953005,0.231142156578511
"204",3,NA,6,9,7,10,6,3,9,2017,1.3338364754141,-0.309257035138115
"205",3,NA,6,9,8,10,7,3,10,2014,1.43720825162177,-0.326996683202079
"208",5,5,5,1,1,1,6,5,0,2018,-1.37877532031474,0.53015593256821
"209",8,5,2,1,1,1,7,6,1,2008,-1.43598889468575,0.5511746174652
"211",7,8,4,5,10,6,8,4,7,3101,0.750600251761554,0.382892012792732
"212",2,7,2,2,10,2,4,3,2,3102,0.22401955170091,-0.894857659690709
"213",2,5,4,7,10,9,8,7,10,3115,1.28045472655774,-0.944118385350709
"214",7,9,6,0,8,1,5,8,3,3105,-0.524423854289522,1.19124657543323
"215",1,3,1,5,10,6,7,2,7,3103,0.714441567487884,-1.66532717113133
"216",7,8,6,2,8,2,7,8,6,3104,-0.281194981278118,1.06862230331297
"217",5,NA,0,9,NA,6,6,2,7,3108,1.08875972318574,-1.00198704268354
"219",1,8,1,7,10,8,10,3,10,3107,1.57919680831223,-1.6604179822183
"221",3,6,0,3,7,2,6,3,7,3117,-0.0603895510987278,-1.10239005532507
"222",8,8,7,0,7,1,3,7,1,3118,-0.799839120712914,1.60213640463339
"223",2,3,4,0,7,1,4,7,1,3106,-0.835997804986584,-0.446082779290667
"225",4,6,4,6,6,7,6,5,6,3101,0.514827942718703,-0.317199441940833
"226",4,5,5,5,4,3,3,4,3,3102,-0.346458589837851,0.0764809636176161
"227",5,4,3,7,8,9,8,6,9,3115,0.859211875935919,-0.502857089156268
"228",6,7,6,4,5,3,4,5,4,3105,-0.31075533458961,0.780500162153401
"229",NA,4,4,5,5,5,5,4,5,3103,-0.0734493924293514,-0.3049893152937
"230",7,7,6,4,5,4,6,8,5,3104,-0.25710635351833,0.956932003293923
"231",3,NA,3,6,5,NA,5,2,NA,3108,0.0837275632509634,-0.64550443637189
"232",3,NA,4,3,4,3,5,NA,5,3110,-0.572534118637508,-0.31502626454644
"233",3,5,NA,6,8,8,8,NA,8,3107,0.791872542669702,-0.588734441016901
"234",4,3,1,4,6,4,2,1,4,3116,-0.187720095416748,-0.851446080846764
"235",5,6,3,6,5,6,5,NA,5,3117,0.284156191375615,-0.255691144157891
"236",7,7,6,5,5,4,4,8,4,3118,-0.144315345545851,0.928497773454364
"237",6,5,5,3,4,3,2,6,3,3106,-0.672573360843566,0.562499223753088
"238",3,4,NA,8,8,9,9,NA,9,3119,1.02418310055542,-0.638709677961951
"253",6,7,5,6,5,5,7,6,7,3101,0.153852584632041,0.439776912369793
"254",4,6,4,4,3,2,3,4,2,3102,-0.553386470087826,-0.0205386556345694
"255",6,7,5,7,6,8,7,6,7,3115,0.686074869693922,0.280554494870978
"256",7,6,7,3,3,2,3,8,2,3105,-0.910562168871564,1.27432629067706
"257",6,NA,6,6,NA,5,6,NA,6,3103,0.0955555874760494,0.590385394392261
"260",3,NA,3,3,3,2,2,3,2,3110,-0.856461694292473,-0.501228171015864
"262",6,NA,5,6,6,8,7,NA,7,3116,0.48701536018623,0.281375971357046
"263",4,NA,4,6,NA,7,6,6,7,3117,0.505100172450802,-0.327937119506324
"264",7,NA,7,4,NA,4,6,8,5,3118,-0.508226048252661,1.11443813500696
"265",6,6,7,4,NA,2,4,8,2,3106,-0.623666801891619,1.01250429865359
"267",3,6,4,8,7,8,7,5,7,3101,1.00227689608012,-0.643144871332073
"268",3,4,2,2,3,1,3,3,1,3102,-0.942764098027741,-0.610464887661316
"269",4,4,5,9,9,10,9,7,10,3115,1.28427045715059,-0.413665174689147
"270",5,7,6,4,5,2,5,7,2,3105,-0.364404315660891,0.604068321012878
"271",4,3,4,4,NA,3,5,4,4,3103,-0.568285854422054,-0.162786688297874
"272",6,7,7,5,NA,2,6,8,4,3104,-0.26307949045729,0.987144306573089
"274",4,NA,4,4,NA,3,4,3,4,3110,-0.420528481697812,-0.107868605366798
"275",4,4,5,9,8,7,9,5,9,3107,0.864839180061187,-0.282876987029891
"277",3,8,3,5,NA,4,5,2,5,3117,0.349673685679647,-0.5420720508085
"278",5,8,7,4,NA,3,6,7,5,3118,-0.119267480569854,0.788019478890862
"279",4,5,7,3,4,1,5,6,3,3106,-0.842261695132877,0.624772885330405
"280",NA,NA,5,9,10,10,10,7,10,3119,1.64182893007764,-0.130914030799126
"281",3,6,5,5,6,5,8,4,6,3101,0.213277408999909,-0.219485322224961
"282",3,5,4,5,5,NA,3,4,2,3102,-0.0118303229073498,-0.415421901658749
"283",5,4,6,5,7,7,8,5,7,3115,0.224528383283094,0.269362514881992
"284",5,8,6,5,5,2,6,6,2,3105,-0.165344806153199,0.60324684452681
"285",5,6,5,5,6,4,5,4,3,3103,0.00882929533749253,0.247807537319048
"286",7,6,6,2,6,3,7,7,3,3104,-0.565187028315735,1.00797175831091
"287",1,6,2,5,6,5,2,3,3,3108,0.40739572228079,-1.27134113846886
"288",2,6,4,5,6,5,2,3,3,3110,0.294738972603662,-0.641628894382319
"289",2,NA,5,8,8,7,9,4,9,3107,1.11138643175511,-0.600754297586215
"290",3,3,2,3,8,5,1,2,5,3116,0.0378458492382853,-0.900879159186438
"291",2,8,3,5,5,4,2,3,5,3117,0.28687060186138,-0.739469990120572
"292",7,8,7,4,6,3,7,7,2,3118,-0.198263195373726,1.21389747726796
"293",7,6,6,4,5,2,5,7,1,3106,-0.551205572256862,1.00560536811574
"294",7,6,6,8,9,8,9,6,9,3119,0.954191416380708,0.597574052646415
"295",1,8,4,6,7,7,6,4,6,3101,0.94584927966469,-0.922057646314674
"296",1,7,3,4,5,1,4,4,2,3102,-0.173668605920912,-0.838794236599716
"298",6,8,6,1,6,2,5,6,4,3105,-0.559090014289068,0.915199653716932
"299",2,1,2,1,4,1,3,4,5,3103,-1.15640903179106,-0.895802828506697
"300",8,NA,7,2,5,2,5,8,6,3104,-0.884129702266136,1.47633357394617
"304",0,3,4,1,7,2,4,1,4,3116,-0.518758683351689,-0.941809868674235
"306",9,8,6,3,NA,3,5,7,5,3118,-0.43961863304002,1.47291029135265
"309",5,3,3,6,7,8,7,5,8,3101,0.448551806542143,-0.447533543186254
"310",4,5,3,4,4,3,4,5,2,3102,-0.39685922566358,-0.310222150401186
"311",6,NA,NA,7,9,9,8,NA,9,3115,1.05872376138801,0.404378321781719
"312",5,4,5,3,3,1,5,7,1,3105,-1.02409140333614,0.412956698743021
"313",4,4,2,NA,NA,8,6,3,7,3103,0.492699180538424,-0.82385526100655
"317",5,NA,2,7,9,8,9,NA,9,3107,1.09690788329981,-0.62375174201338
"318",3,NA,2,4,8,5,NA,2,8,3116,0.331800710434712,-0.871326606983666
"320",6,NA,6,3,3,3,5,7,1,3118,-0.811453748201365,0.786426906078559
"321",4,4,4,3,NA,2,3,3,1,3106,-0.779487620424297,-0.0563273882199517
"322",6,NA,NA,7,9,10,10,NA,10,3119,1.13161709081717,0.301917355702698
"323",4,7,4,7,7,6,6,5,4,3101,0.71765729490916,-0.296236869735537
"324",2,6,2,3,4,1,3,3,2,3102,-0.499484508170032,-0.814607521418361
"325",7,4,7,6,7,5,5,8,6,3115,-0.00223926708187785,0.953932875603278
"326",7,8,7,2,4,1,2,7,2,3105,-0.847046331090851,1.37977007591497
"327",1,3,1,5,5,4,4,2,5,3103,-0.0318151561375585,-1.50724600097456
"328",8,7,7,2,5,2,5,7,3,3104,-0.771980650270359,1.51223015330571
"329",0,NA,0,6,NA,6,4,1,5,3108,0.715221798275172,-1.96435886940335
"330",1,NA,2,3,NA,1,4,2,3,3110,-0.873955117629446,-1.11938777503314
"332",2,4,1,1,6,3,4,0,4,3116,-0.443207221339874,-1.1295373793433
"333",3,NA,2,4,NA,6,5,2,5,3117,0.0835674097601515,-0.86208069632603
"334",7,NA,6,6,NA,4,5,6,5,3118,-0.00362245764556039,0.863250231575351
"335",4,3,3,4,4,1,2,4,3,3106,-0.777226945937325,-0.289161538932857
"336",6,NA,4,8,8,9,9,7,8,3119,1.07170517352859,-0.0511609647961383
"337",4,6,4,9,9,8,7,7,8,3101,1.28017192909107,-0.489722221736036
"338",4,5,3,4,7,3,4,4,4,3102,-0.0738036218103059,-0.359299181590057
"339",6,6,3,10,10,10,9,8,10,3115,1.63914128656391,-0.389220451620021
"340",9,4,5,1,6,0,5,5,0,3105,-1.231598684151,1.31719078723363
"341",5,3,4,4,6,2,5,4,4,3103,-0.53940274837057,0.0621209533442646
"342",8,7,6,6,6,3,6,6,5,3104,-0.0780208724209852,1.13642249253435
"343",2,NA,2,3,NA,4,4,3,4,3108,-0.413137456470988,-1.00880625963054
"344",3,NA,2,2,4,3,3,3,3,3110,-0.627248179539998,-0.703110016232917
"346",6,6,2,5,7,6,NA,8,4,3116,0.367664394514982,-0.252968706811916
"347",NA,5,3,5,6,7,6,7,8,3117,0.341936981531347,-0.502489147361128
"348",7,NA,5,4,NA,4,3,5,4,3118,-0.454462526259433,0.696539515813254
"349",7,3,5,0,4,0,5,3,0,3106,-1.54549584116678,0.921580484055925
"350",10,8,6,10,10,10,10,9,10,3119,1.5170272212927,1.14701067178721
"351",5,5,5,5,10,5,6,7,9,3101,0.457216957541637,0.116615683292741
"352",5,5,5,5,7,1,4,5,4,3102,-0.281500080718274,0.318264950832232
"353",5,5,5,7,10,10,9,10,10,3115,1.20237576649489,-0.130968071824652
"354",10,8,10,5,5,1,5,5,2,3105,-0.64537279670025,2.54453909247207
"355",3,3,5,5,7,4,5,4,5,3103,-0.0417582529229654,-0.280539533594069
"356",10,8,10,5,8,2,5,5,2,3104,-0.218401834245317,2.45731900219555
"357",5,3,3,5,NA,5,5,5,5,3108,-0.110591778840845,-0.284221373088367
"358",4,3,4,5,5,0,3,3,3,3110,-0.691861281355456,-0.0882430481518709
"359",4,5,4,8,10,10,NA,10,10,3107,1.39662833807112,-0.581545873821568
"360",5,5,5,8,10,10,9,10,4,3116,1.31516677446737,-0.159402301664211
"361",5,5,4,5,9,5,5,5,7,3117,0.380726942330587,-0.0745939782401492
"362",5,5,5,8,5,10,6,5,4,3118,0.776740768045247,-0.0776072496827587
"363",6,7,6,5,5,0,5,5,1,3106,-0.509710402422109,0.866495109576807
"364",5,5,5,10,10,10,9,9,10,3119,1.54074879041233,-0.216270761343328
"365",6,6,7,7,8,7,8,7,8,3101,0.648871039979149,0.673504123670923
"366",4,5,4,2,4,2,1,3,2,3102,-0.757551786283572,-0.00764195970523291
"367",7,5,6,8,9,8,9,8,8,3115,0.867922914845495,0.569961299292924
"368",7,5,5,2,4,1,1,4,1,3105,-1.04346146354974,0.881794471996134
"369",4,5,3,2,4,2,3,4,4,3103,-0.726356600210197,-0.215210631634413
"370",8,5,7,5,5,3,5,5,5,3104,-0.50222927082169,1.3335588979924
"371",2,5,2,5,5,5,5,4,5,3108,0.163175641930774,-1.06801998119788
"372",2,5,3,1,3,1,1,2,1,3110,-0.950215413008003,-0.561424132767263
"373",7,5,4,8,8,8,8,8,8,3107,0.82262808570782,0.171182965830854
"374",2,5,1,4,4,4,5,4,4,3116,-0.130020739854414,-1.19265235380356
"375",4,5,3,4,5,5,5,4,5,3117,-0.0813433071758368,-0.402867278972786
"376",4,5,4,4,5,4,3,3,2,3118,-0.216453851850871,-0.157155547955951
"377",4,5,3,2,4,1,1,1,1,3106,-0.830271958811856,-0.177067572546758
"378",6,5,4,9,9,9,9,10,9,3119,1.19728603109676,-0.126328233720827
"379",3,6,5,6,8,5,6,6,5,3101,0.541438819541237,-0.280637572857101
"380",3,4,3,5,6,2,4,4,3,3102,-0.208615297728746,-0.575418995527338
"381",3,5,4,6,7,6,NA,7,7,3115,0.482595661396633,-0.537603046831137
"382",5,5,4,5,4,3,5,8,3,3105,-0.365529781294855,0.0834871919166129
"383",3,4,3,5,6,5,4,4,4,3103,0.103130778076232,-0.689848172790303
"384",6,6,6,4,5,1,7,8,2,3104,-0.604854553328142,0.82917352697522
"387",NA,5,NA,7,9,10,8,5,9,3107,1.11367323671423,-0.150999033441986
"388",1,4,4,4,7,3,4,3,1,3116,-0.0404681768277583,-0.823067963698899
"389",4,NA,4,5,6,6,5,5,6,3117,0.246360475223437,-0.267189805025714
"390",5,NA,5,4,4,2,6,7,3,3118,-0.729893811014905,0.320355935745795
"391",2,3,2,2,0,0,3,3,0,3106,-1.40573718448751,-0.765432450966458
"393",2,7,6,7,8,8,6,2,7,3101,1.07131559631091,-0.402894454905131
"394",2,5,3,5,5,2,3,3,2,3102,-0.179765619947579,-0.746022132005734
"395",2,6,4,6,9,8,7,3,8,3115,1.04233166023439,-0.833569332673714
"396",3,5,5,4,5,2,5,5,3,3105,-0.405213377597186,-0.0878756580796376
"397",2,4,4,5,7,6,6,4,7,3103,0.33380252941932,-0.751356470573246
"398",3,6,6,4,5,4,5,5,5,3104,-0.142309344932029,0.0710196490277233
"399",2,6,4,5,5,4,4,2,5,3108,0.0831384127175783,-0.587126824898373
"400",1,4,4,2,5,2,3,2,3,3110,-0.585335953943225,-0.695338424139546
"401",2,5,5,7,7,8,8,3,8,3107,0.822288578029434,-0.649329623145002
"402",1,6,1,5,8,3,2,2,5,3116,0.446130593719696,-1.43534171301531
"403",2,5,4,5,5,5,5,3,4,3117,0.100785269784024,-0.652882637339519
"404",3,5,5,5,5,5,5,5,3,3118,0.0193237061802709,-0.230739065182162
"405",3,5,5,5,5,2,4,5,3,3106,-0.292422369624707,-0.116309887919196
"406",1,5,4,7,8,9,9,4,9,3119,1.11535070151927,-1.12597526478631
