econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen,lrecon,galtan,party_id
4.0,8.0,4.0,4.0,6.0,6.0,5.0,3.0,7.0,2004.0
5.0,8.0,6.0,7.0,8.0,8.0,3.0,4.0,8.0,2017.0
6.0,8.0,8.0,7.0,8.0,9.0,6.0,3.0,8.0,2014.0
2.0,9.0,8.0,8.0,8.0,10.0,2.0,1.0,9.0,2007.0
6.0,4.0,8.0,7.0,8.0,9.0,5.0,3.0,8.0,2005.0
7.0,3.0,5.0,3.0,5.0,3.0,7.0,5.0,4.0,2018.0
7.0,3.0,5.0,3.0,5.0,3.0,7.0,5.0,4.0,2008.0
5.0,5.0,7.0,4.0,5.0,6.0,5.0,2.0,5.0,2019.0
4.0,7.0,6.0,,8.0,,4.0,4.0,8.0,2010.0
2.0,4.0,2.0,,9.0,,2.0,2.0,8.0,2003.0
5.0,6.0,7.0,,8.0,,6.0,6.0,7.0,2004.0
3.0,,2.0,,10.0,,2.0,2.0,10.0,2017.0
5.0,5.0,6.0,,10.0,,4.0,2.0,10.0,2014.0
2.0,,3.0,,10.0,,2.0,1.0,10.0,2007.0
5.0,4.0,6.0,,10.0,,4.0,4.0,10.0,2005.0
8.0,5.0,8.0,,7.0,,7.0,8.0,9.0,2018.0
8.0,5.0,8.0,,7.0,,7.0,8.0,9.0,2008.0
,,,,,,,3.0,10.0,2019.0
6.0,6.0,6.0,6.0,7.0,4.0,7.0,7.0,3.0,2010.0
4.0,6.0,3.0,5.0,7.0,5.0,3.0,3.0,6.0,2003.0
4.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,2004.0
9.0,8.0,7.0,9.0,8.0,10.0,8.0,9.0,9.0,2017.0
9.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,2014.0
8.0,9.0,3.0,10.0,10.0,10.0,10.0,10.0,9.0,2007.0
8.0,6.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,2005.0
5.0,2.0,8.0,1.0,5.0,1.0,8.0,7.0,1.0,2018.0
10.0,6.0,9.0,2.0,5.0,1.0,8.0,9.0,1.0,2008.0
10.0,5.0,,5.0,8.0,5.0,7.0,8.0,5.0,2019.0
6.0,5.0,6.0,5.0,8.0,6.0,5.0,5.0,8.0,2010.0
2.0,7.0,3.0,3.0,8.0,10.0,3.0,2.0,9.0,2003.0
2.0,7.0,3.0,3.0,,10.0,3.0,3.0,10.0,2004.0
9.0,9.0,7.0,6.0,9.0,8.0,5.0,4.0,9.0,2017.0
9.0,9.0,7.0,10.0,10.0,10.0,8.0,4.0,10.0,2014.0
4.0,9.0,4.0,9.0,10.0,10.0,10.0,2.0,10.0,2007.0
5.0,9.0,5.0,9.0,10.0,10.0,7.0,5.0,9.0,2005.0
6.0,0.0,6.0,0.0,2.0,0.0,4.0,5.0,0.0,2018.0
8.0,1.0,8.0,1.0,3.0,3.0,7.0,8.0,2.0,2008.0
,,,,10.0,,,5.0,10.0,2019.0
7.0,2.0,6.0,7.0,7.0,7.0,7.0,6.0,8.0,2010.0
6.0,2.0,4.0,5.0,7.0,8.0,4.0,6.0,8.0,2003.0
5.0,2.0,4.0,5.0,6.0,6.0,5.0,6.0,6.0,2004.0
,1.0,,9.0,10.0,10.0,10.0,8.0,10.0,2017.0
,1.0,,9.0,10.0,10.0,10.0,8.0,10.0,2014.0
,1.0,,9.0,10.0,10.0,10.0,8.0,10.0,2007.0
,1.0,,9.0,10.0,10.0,10.0,7.0,10.0,2005.0
7.0,2.0,4.0,6.0,7.0,7.0,6.0,7.0,8.0,2018.0
8.0,1.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0,2008.0
,,,,,,,,,2019.0
4.0,6.0,4.0,9.0,8.0,5.0,7.0,7.0,7.0,2010.0
2.0,8.0,4.0,10.0,8.0,6.0,3.0,2.0,7.0,2003.0
2.0,7.0,4.0,9.0,8.0,6.0,4.0,4.0,7.0,2004.0
,,,,,,,,,2017.0
,,,,,,,,,2014.0
2.0,7.0,2.0,10.0,10.0,8.0,9.0,4.0,9.0,2007.0
2.0,6.0,2.0,10.0,10.0,8.0,9.0,4.0,9.0,2005.0
,,,,,,,,,2018.0
,,,,,,,,,2008.0
,,,,,,,,,2019.0
7.0,7.0,8.0,,3.0,4.0,5.0,5.0,4.0,2010.0
,6.0,7.0,,6.0,8.0,2.0,2.0,9.0,2003.0
3.0,6.0,7.0,7.0,9.0,,2.0,5.0,8.0,2004.0
3.0,6.0,7.0,8.0,9.0,10.0,7.0,,7.0,2017.0
3.0,6.0,7.0,8.0,9.0,10.0,7.0,5.0,6.0,2014.0
3.0,6.0,7.0,8.0,9.0,10.0,7.0,1.0,9.0,2007.0
3.0,6.0,7.0,8.0,8.0,9.0,,1.0,,2005.0
7.0,3.0,7.0,3.0,2.0,3.0,5.0,7.0,4.0,2018.0
8.0,3.0,7.0,3.0,2.0,3.0,5.0,7.0,,2008.0
6.0,3.0,2.0,4.0,4.0,1.0,5.0,5.0,3.0,2019.0
4.0,7.0,6.0,7.0,6.0,7.0,5.0,5.0,3.0,2010.0
0.0,5.0,0.0,9.0,8.0,10.0,2.0,2.0,9.0,2003.0
5.0,6.0,5.0,5.0,4.0,6.0,5.0,6.0,5.0,2004.0
5.0,5.0,3.0,7.0,8.0,10.0,4.0,5.0,7.0,2017.0
4.0,6.0,3.0,9.0,10.0,10.0,4.0,6.0,9.0,2014.0
0.0,6.0,0.0,10.0,10.0,10.0,0.0,1.0,9.0,2007.0
2.0,6.0,2.0,10.0,10.0,10.0,2.0,5.0,9.0,2005.0
6.0,4.0,7.0,3.0,2.0,2.0,6.0,6.0,1.0,2018.0
7.0,5.0,7.0,4.0,3.0,4.0,7.0,7.0,3.0,2008.0
,,,,,,,,,2019.0
8.0,6.0,6.0,5.0,9.0,5.0,6.0,6.0,3.0,2010.0
0.0,7.0,0.0,2.0,9.0,10.0,4.0,3.0,4.0,2003.0
9.0,7.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,2004.0
2.0,10.0,6.0,7.0,8.0,9.0,8.0,9.0,9.0,2017.0
1.0,10.0,4.0,10.0,10.0,10.0,9.0,10.0,9.0,2014.0
0.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,2007.0
1.0,10.0,4.0,10.0,10.0,10.0,9.0,10.0,9.0,2005.0
5.0,1.0,7.0,0.0,2.0,0.0,6.0,7.0,0.0,2018.0
10.0,6.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0,2008.0
,,,,,,,,,2019.0
6.0,4.0,5.0,6.0,4.0,5.0,7.0,7.0,7.0,2010.0
3.0,8.0,1.0,8.0,7.0,7.0,2.0,1.0,9.0,2003.0
4.0,6.0,3.0,5.0,3.0,4.0,5.0,5.0,8.0,2004.0
4.0,7.0,2.0,7.0,6.0,6.0,4.0,5.0,9.0,2017.0
5.0,8.0,2.0,10.0,9.0,8.0,6.0,6.0,10.0,2014.0
2.0,8.0,1.0,10.0,9.0,10.0,1.0,1.0,10.0,2007.0
3.0,7.0,3.0,10.0,8.0,9.0,3.0,3.0,10.0,2005.0
8.0,0.0,6.0,3.0,3.0,1.0,8.0,9.0,3.0,2018.0
7.0,1.0,8.0,6.0,5.0,6.0,9.0,9.0,4.0,2008.0
2.0,,2.0,6.0,6.0,6.0,4.0,3.0,,2019.0
8.0,9.0,6.0,9.0,8.0,9.0,7.0,8.0,7.0,2010.0
6.0,8.0,3.0,5.0,7.0,6.0,4.0,5.0,7.0,2003.0
8.0,9.0,4.0,3.0,6.0,5.0,5.0,6.0,5.0,2004.0
,,,,,,,,,2017.0
,,,10.0,10.0,10.0,10.0,,10.0,2014.0
,10.0,,10.0,10.0,10.0,10.0,4.0,10.0,2007.0
,10.0,,10.0,10.0,10.0,10.0,4.0,10.0,2005.0
5.0,6.0,5.0,2.0,6.0,1.0,4.0,,2.0,2018.0
9.0,9.0,7.0,5.0,8.0,7.0,8.0,9.0,8.0,2008.0
,,,,,,,,,2019.0
8.0,9.0,6.0,9.0,8.0,8.0,7.0,8.0,8.0,2010.0
6.0,8.0,3.0,5.0,7.0,6.0,4.0,4.0,6.0,2003.0
8.0,9.0,4.0,3.0,6.0,4.0,5.0,6.0,5.0,2004.0
,,,,10.0,,,,8.0,2017.0
,,,10.0,10.0,10.0,10.0,4.0,10.0,2014.0
,,,10.0,10.0,10.0,10.0,4.0,10.0,2007.0
,,,10.0,10.0,10.0,10.0,4.0,10.0,2005.0
6.0,6.0,5.0,2.0,6.0,1.0,5.0,,1.0,2018.0
9.0,9.0,7.0,5.0,9.0,8.0,8.0,9.0,9.0,2008.0
,,,,,,,,,2019.0
5.0,5.0,5.0,5.0,4.0,3.0,7.0,6.0,5.0,2010.0
3.0,,7.0,,5.0,6.0,6.0,3.0,7.0,2003.0
5.0,,,4.0,2.0,3.0,5.0,5.0,5.0,2004.0
3.0,,6.0,9.0,7.0,10.0,6.0,3.0,9.0,2017.0
3.0,,6.0,9.0,8.0,10.0,7.0,3.0,10.0,2014.0
,,,9.0,9.0,10.0,9.0,,10.0,2007.0
,,,9.0,7.0,10.0,7.0,3.0,10.0,2005.0
5.0,5.0,5.0,1.0,1.0,1.0,6.0,5.0,0.0,2018.0
8.0,5.0,2.0,1.0,1.0,1.0,7.0,6.0,1.0,2008.0
,,,,,,,,,2019.0
7.0,8.0,4.0,5.0,10.0,6.0,8.0,4.0,7.0,3101.0
2.0,7.0,2.0,2.0,10.0,2.0,4.0,3.0,2.0,3102.0
2.0,5.0,4.0,7.0,10.0,9.0,8.0,7.0,10.0,3115.0
7.0,9.0,6.0,0.0,8.0,1.0,5.0,8.0,3.0,3105.0
1.0,3.0,1.0,5.0,10.0,6.0,7.0,2.0,7.0,3103.0
7.0,8.0,6.0,2.0,8.0,2.0,7.0,8.0,6.0,3104.0
5.0,,0.0,9.0,,6.0,6.0,2.0,7.0,3108.0
,,0.0,0.0,,,3.0,2.0,5.0,3110.0
1.0,8.0,1.0,7.0,10.0,8.0,10.0,3.0,10.0,3107.0
,,0.0,0.0,,,,2.0,2.0,3116.0
3.0,6.0,0.0,3.0,7.0,2.0,6.0,3.0,7.0,3117.0
8.0,8.0,7.0,0.0,7.0,1.0,3.0,7.0,1.0,3118.0
2.0,3.0,4.0,0.0,7.0,1.0,4.0,7.0,1.0,3106.0
,,,10.0,,10.0,10.0,3.0,10.0,3119.0
4.0,6.0,4.0,6.0,6.0,7.0,6.0,5.0,6.0,3101.0
4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,3102.0
5.0,4.0,3.0,7.0,8.0,9.0,8.0,6.0,9.0,3115.0
6.0,7.0,6.0,4.0,5.0,3.0,4.0,5.0,4.0,3105.0
,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3103.0
7.0,7.0,6.0,4.0,5.0,4.0,6.0,8.0,5.0,3104.0
3.0,,3.0,6.0,5.0,,5.0,2.0,,3108.0
3.0,,4.0,3.0,4.0,3.0,5.0,,5.0,3110.0
3.0,5.0,,6.0,8.0,8.0,8.0,,8.0,3107.0
4.0,3.0,1.0,4.0,6.0,4.0,2.0,1.0,4.0,3116.0
5.0,6.0,3.0,6.0,5.0,6.0,5.0,,5.0,3117.0
7.0,7.0,6.0,5.0,5.0,4.0,4.0,8.0,4.0,3118.0
6.0,5.0,5.0,3.0,4.0,3.0,2.0,6.0,3.0,3106.0
3.0,4.0,,8.0,8.0,9.0,9.0,,9.0,3119.0
,,,,,5.0,8.0,5.0,8.0,3101.0
,,,,,0.0,4.0,5.0,0.0,3102.0
,,,,,,6.0,,8.0,3115.0
,,,,,0.0,5.0,5.0,0.0,3105.0
,,,,,,5.0,,5.0,3103.0
,,,,,,5.0,7.0,,3104.0
,,,,,,,,,3108.0
,,,,,0.0,4.0,,,3110.0
,,,,,,,,,3107.0
,,,,,,,,,3116.0
,,,,,,,,,3117.0
,,,,,,,,,3118.0
,,,,,0.0,4.0,,0.0,3106.0
,,,,,10.0,9.0,,10.0,3119.0
6.0,7.0,5.0,6.0,5.0,5.0,7.0,6.0,7.0,3101.0
4.0,6.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,3102.0
6.0,7.0,5.0,7.0,6.0,8.0,7.0,6.0,7.0,3115.0
7.0,6.0,7.0,3.0,3.0,2.0,3.0,8.0,2.0,3105.0
6.0,,6.0,6.0,,5.0,6.0,,6.0,3103.0
7.0,,7.0,,,4.0,7.0,9.0,,3104.0
,,,,,,,,,3108.0
3.0,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3110.0
,,,7.0,,7.0,8.0,,7.0,3107.0
6.0,,5.0,6.0,6.0,8.0,7.0,,7.0,3116.0
4.0,,4.0,6.0,,7.0,6.0,6.0,7.0,3117.0
7.0,,7.0,4.0,,4.0,6.0,8.0,5.0,3118.0
6.0,6.0,7.0,4.0,,2.0,4.0,8.0,2.0,3106.0
,,,7.0,,9.0,9.0,,9.0,3119.0
3.0,6.0,4.0,8.0,7.0,8.0,7.0,5.0,7.0,3101.0
3.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3102.0
4.0,4.0,5.0,9.0,9.0,10.0,9.0,7.0,10.0,3115.0
5.0,7.0,6.0,4.0,5.0,2.0,5.0,7.0,2.0,3105.0
4.0,3.0,4.0,4.0,,3.0,5.0,4.0,4.0,3103.0
6.0,7.0,7.0,5.0,,2.0,6.0,8.0,4.0,3104.0
3.0,,4.0,,,4.0,5.0,4.0,5.0,3108.0
4.0,,4.0,4.0,,3.0,4.0,3.0,4.0,3110.0
4.0,4.0,5.0,9.0,8.0,7.0,9.0,5.0,9.0,3107.0
3.0,,3.0,2.0,,,4.0,4.0,5.0,3116.0
3.0,8.0,3.0,5.0,,4.0,5.0,2.0,5.0,3117.0
5.0,8.0,7.0,4.0,,3.0,6.0,7.0,5.0,3118.0
4.0,5.0,7.0,3.0,4.0,1.0,5.0,6.0,3.0,3106.0
,,5.0,9.0,10.0,10.0,10.0,7.0,10.0,3119.0
3.0,6.0,5.0,5.0,6.0,5.0,8.0,4.0,6.0,3101.0
3.0,5.0,4.0,5.0,5.0,,3.0,4.0,2.0,3102.0
5.0,4.0,6.0,5.0,7.0,7.0,8.0,5.0,7.0,3115.0
5.0,8.0,6.0,5.0,5.0,2.0,6.0,6.0,2.0,3105.0
5.0,6.0,5.0,5.0,6.0,4.0,5.0,4.0,3.0,3103.0
7.0,6.0,6.0,2.0,6.0,3.0,7.0,7.0,3.0,3104.0
1.0,6.0,2.0,5.0,6.0,5.0,2.0,3.0,3.0,3108.0
2.0,6.0,4.0,5.0,6.0,5.0,2.0,3.0,3.0,3110.0
2.0,,5.0,8.0,8.0,7.0,9.0,4.0,9.0,3107.0
3.0,3.0,2.0,3.0,8.0,5.0,1.0,2.0,5.0,3116.0
2.0,8.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,3117.0
7.0,8.0,7.0,4.0,6.0,3.0,7.0,7.0,2.0,3118.0
7.0,6.0,6.0,4.0,5.0,2.0,5.0,7.0,1.0,3106.0
7.0,6.0,6.0,8.0,9.0,8.0,9.0,6.0,9.0,3119.0
1.0,8.0,4.0,6.0,7.0,7.0,6.0,4.0,6.0,3101.0
1.0,7.0,3.0,4.0,5.0,1.0,4.0,4.0,2.0,3102.0
,,,7.0,10.0,8.0,8.0,5.0,8.0,3115.0
6.0,8.0,6.0,1.0,6.0,2.0,5.0,6.0,4.0,3105.0
2.0,1.0,2.0,1.0,4.0,1.0,3.0,4.0,5.0,3103.0
8.0,,7.0,2.0,5.0,2.0,5.0,8.0,6.0,3104.0
2.0,,0.0,,,,4.0,3.0,,3108.0
,,,1.0,,2.0,3.0,,,3110.0
,,,8.0,10.0,9.0,9.0,,9.0,3107.0
0.0,3.0,4.0,1.0,7.0,2.0,4.0,1.0,4.0,3116.0
,,4.0,6.0,,6.0,7.0,4.0,6.0,3117.0
9.0,8.0,6.0,3.0,,3.0,5.0,7.0,5.0,3118.0
,,,0.0,4.0,0.0,3.0,5.0,1.0,3106.0
,,,8.0,,9.0,10.0,,10.0,3119.0
5.0,3.0,3.0,6.0,7.0,8.0,7.0,5.0,8.0,3101.0
4.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,3102.0
6.0,,,7.0,9.0,9.0,8.0,,9.0,3115.0
5.0,4.0,5.0,3.0,3.0,1.0,5.0,7.0,1.0,3105.0
4.0,4.0,2.0,,,8.0,6.0,3.0,7.0,3103.0
5.0,,,3.0,,1.0,,5.0,1.0,3104.0
3.0,,2.0,,,,,4.0,5.0,3108.0
,,,3.0,4.0,2.0,4.0,,1.0,3110.0
5.0,,2.0,7.0,9.0,8.0,9.0,,9.0,3107.0
3.0,,2.0,4.0,8.0,5.0,,2.0,8.0,3116.0
,6.0,4.0,6.0,,,,,6.0,3117.0
6.0,,6.0,3.0,3.0,3.0,5.0,7.0,1.0,3118.0
4.0,4.0,4.0,3.0,,2.0,3.0,3.0,1.0,3106.0
6.0,,,7.0,9.0,10.0,10.0,,10.0,3119.0
4.0,7.0,4.0,7.0,7.0,6.0,6.0,5.0,4.0,3101.0
2.0,6.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,3102.0
7.0,4.0,7.0,6.0,7.0,5.0,5.0,8.0,6.0,3115.0
7.0,8.0,7.0,2.0,4.0,1.0,2.0,7.0,2.0,3105.0
1.0,3.0,1.0,5.0,5.0,4.0,4.0,2.0,5.0,3103.0
8.0,7.0,7.0,2.0,5.0,2.0,5.0,7.0,3.0,3104.0
0.0,,0.0,6.0,,6.0,4.0,1.0,5.0,3108.0
1.0,,2.0,3.0,,1.0,4.0,2.0,3.0,3110.0
,,,,,7.0,7.0,,7.0,3107.0
2.0,4.0,1.0,1.0,6.0,3.0,4.0,0.0,4.0,3116.0
3.0,,2.0,4.0,,6.0,5.0,2.0,5.0,3117.0
7.0,,6.0,6.0,,4.0,5.0,6.0,5.0,3118.0
4.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,3.0,3106.0
6.0,,4.0,8.0,8.0,9.0,9.0,7.0,8.0,3119.0
4.0,6.0,4.0,9.0,9.0,8.0,7.0,7.0,8.0,3101.0
4.0,5.0,3.0,4.0,7.0,3.0,4.0,4.0,4.0,3102.0
6.0,6.0,3.0,10.0,10.0,10.0,9.0,8.0,10.0,3115.0
9.0,4.0,5.0,1.0,6.0,0.0,5.0,5.0,0.0,3105.0
5.0,3.0,4.0,4.0,6.0,2.0,5.0,4.0,4.0,3103.0
